title,artist,album,language_id,scaled_vectorized_features_str
"#WASSHOI - EVERYBODY ver","Daishi Dance, DJ TORA, iamSHUM",#WASSHOI,0.0,"3.643078175318537,4.6594421461253335,-0.1346744723709618,0.5514079804251267,0.016103480742630478,3.064792205942679,0.6856726659446588,4.465690636497697,0.0"
(All Along The) Watchtower - Instrumental,Devlin,Watchtower,-2.0,"4.5928806995980125,4.133142463298742,-1.3763343921771602,0.37572919476481925,0.01444118595629443,4.2856011013098465,2.1663890979233087,3.731772185191643,-0.2769906204992498"
(Dont Let The Dragon) Draag On,King Krule,Man Alive!,-2.0,"4.54734222240653,1.0139718659961865,-3.9484232371921824,0.3604969301121914,0.806905594200624,3.182275907170482,0.6688463428539924,3.604866542791894,-0.2769906204992498"
(If You Wish You Can) Reach Me by Phone,Magic & Naked,S/T,-2.0,"2.40052829766525,2.2790224797628573,-2.524524144300843,0.3087072302932569,2.4137905543254714,4.19876532214147,1.3545190087986512,4.7206178818788915,-0.2769906204992498"
(QcQ) Mix,Marmar,Marmar - Arabic (79),-2.0,"2.5761767096895367,3.35093559524454,-1.281204990748801,0.6245228507577402,1.2674997745812377,4.484812594696121,0.8623490583966568,4.709179285916507,-0.2769906204992498"
(Tak For I Dag),The Minds Of 99,Solkongen,7.0,"2.979517507671232,2.6218415392187113,-2.41307894437169,0.25184010892344644,0.2607724946064678,3.2793276603586667,0.4585173042206614,3.3073933002335365,0.9694671717473742"
.,girl in red,if i could make it go quiet,0.0,"2.93397903047975,4.379392773612102,-2.03587980614994,2.9550593426097946,0.29020896478116864,4.249845192240515,1.3334861049353182,5.300394277838175,0.0"
04800,"Mio, Nick Strand",04800,-2.0,"4.5798697061147315,3.6068427804721495,-2.281446400534774,1.4013683480417585,0.2586946261235477,2.492697660833379,1.2199084240733193,4.32023214942725,-0.2769906204992498"
079 (FloFilz Remix) - Instrumental,Summers Sons,079 (FloFilz Remix),-2.0,"4.2936278494825615,1.8686052959072583,-2.6221423963479666,0.4640763297500605,1.2086268342318358,4.331572984398987,2.578634013644637,3.0416203129489827,-0.2769906204992498"
1 2 3,El Simbolo,Éxitos,1.0,"4.885628052971824,4.640128396296835,-1.8077351660964627,0.4051782397598997,0.4536679521042135,3.8718541535075848,3.9415661839886216,4.569265727986362,0.1384953102496249"
100 (feat. Symphonic),"Vini Vici, Timmy Trumpet",100 (feat. Symphonic),-2.0,"2.3549898204737683,4.664270583582458,-1.3083058085975776,1.5638458376697884,0.044674172382781326,2.3496740245560543,0.15732612089773154,4.800199820861092,-0.2769906204992498"
100 Years Moon,Joseph Murray,100 Years Moon,-2.0,"3.4999572470024516,1.2505653013952969,-3.5208940086798477,0.3655743516630674,1.2709628887194377,4.607404282933828,1.1862557778919862,5.865488817394521,-0.2769906204992498"
1000 Years,Darkened,Kingdom of Decay,-2.0,"1.893099551817311,4.707726520696581,-1.643471025257959,2.010658934146871,7.549588821276225E-4,4.004661815765101,0.15942941128406485,6.277348019576725,-0.2769906204992498"
120 Battements Par Minute,Arnaud Rebotini,120 Battements Par Minute - Original Soundtrack,0.0,"4.963694013871507,2.2307381051916106,-2.9191452368539483,0.41127114562095085,0.8623154204118256,4.5358924647951655,1.7036652129299805,4.185026550201136,0.0"
1372 / Ye,La Paralacer,Afwller,-2.0,"2.556660219464616,2.221081230277361,-2.4504117036531676,0.6316312409289664,0.5921925176322177,2.886012660596023,0.1787796828383313,2.7550974335985177,-0.2769906204992498"
14 Days,Akın Sevgör,ArsNova,-2.0,"4.196045398357958,2.1148556062206176,-2.563792676285805,0.46102987681953506,3.0510035557542907,4.617620256953637,1.047438612393988,5.580326015002997,-0.2769906204992498"
16 Inch - Dance Mix,MDU aka TRP,16 Inch (Dance Mix),-2.0,"5.58822170106897,2.370762791448227,-3.0687528129375012,0.46102987681953506,0.30059830719576897,3.2895436343784756,1.9350271554266445,3.8709533939900496,-0.2769906204992498"
1755,Moonspell,1755,-2.0,"2.5241327357564147,4.6256430839254605,-0.8246391716842056,0.7463809679787625,6.337498872906189E-4,4.224305257190992,1.400791397297984,6.448857211476138,-0.2769906204992498"
18 De Octubre (Polka Liberal),Fernando Rivas,18 De Octubre (Polka Liberal),1.0,"3.617056188351976,4.176598400412864,-1.3536581976506326,0.37572919476481925,0.8623154204118256,3.304867595408189,4.05514386485062,4.411043441762767,0.1384953102496249"
18 Plus (Guaracha Remix),Fumaracha,Guaracha Hits 1,-2.0,"6.193232898041512,4.118657150927367,-0.30695824298104235,1.0967230549892022,0.036709009864921094,3.8258822704184445,2.0528114170613097,4.461575531852692,-0.2769906204992498"
18 Plus - Original Mix,"Afro Bros, Finest Sno",18 Plus,-2.0,"5.464617262977805,2.8198074749608235,-1.133533187368732,1.7567878566030737,0.012605735463048376,2.773636946378125,2.9488131216392994,3.4873070702638493,-0.2769906204992498"
18-80,Affet Robot,Röntgen,-2.0,"4.026902483075311,3.312308095587543,-3.1290383057031477,0.35338853994096514,0.3636269845110108,3.48875512776475,3.9415661839886216,4.1849219288966015,-0.2769906204992498"
18th Eye (8d Audio),Deficio,18th Eye,-2.0,"2.907957043513189,3.7372105918145166,-2.856370893469537,0.5727331509388056,6.787703710872202E-4,3.7748024003193996,2.780549890732635,5.996091079221139,-0.2769906204992498"
19 calls,Deborah de Luca,19 calls,-2.0,"4.846595072521982,3.8048087162142625,-2.056896766930624,0.42041050441252753,0.042249992486041256,4.5205685037654515,0.462723884993328,4.464016695625152,-0.2769906204992498"
1977,ricky retro,1977,-2.0,"5.685804152193573,3.4475043443870343,-1.2698668934855373,0.5107886080181192,0.00201553242843246,4.377544867488127,2.557601109781304,4.3597092550047485,-0.2769906204992498"
