title,artist,album,language_id,scaled_vectorized_features_str
"#23",Dolu Kadehi Ters Tut,Dünyanın En İyi Albümü,14.0,"4.6839576539809755,2.9018909117319436,-2.8198677510609804,0.4620453611297102,1.419876796662042,0.0,2.814202536913968,3.313914694882823,1.9389343434947484"
"#SorryNotSorry",BananaLemon,#SorryNotSorry,25.0,"5.262946863986958,3.795151841300013,-0.8868604371533357,0.43462728475498014,0.29921306154048893,1.7009596742981868E-5,1.379758493434651,3.4867142162048226,3.462382756240622"
"#jangankeluar","YonnyBoii, Shila Amzah, Hafiz Hamidun, Rabbit Mac, Shalma Eliana, Sophia Liana, Alvin Chong, Bella Astillah, Luca Sickta, Kmy Kmo, Tuju, Kowachee, ASYRAF NASIR, Abubakarxli, Siqma, DOLLA, Malik Abdullah",#jangankeluar,20.0,"4.24808937229108,2.7956652876752,-2.627949714458419,2.142671894469645,1.1012702959476328,0.0,0.904414866123323,5.192459965327259,2.769906204992498"
"#Бомба_ракета_пушка_граната",Jerry Heil,#Бомба_ракета_пушка_граната,10.0,"4.599386196339652,3.4281905945585356,-1.676379161217188,0.7585667797008648,0.9177252466230273,2.865580712556405E-5,2.1790088402413086,3.3455452026202708,1.384953102496249"
(tôi) ĐI TRÚ ĐÔNG,Ngọt,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),18.0,"3.844748574309384,2.4238756034765987,-2.983578813984203,0.2691033421964246,0.2656208543999479,3.922934023606629E-5,2.6080800790533036,4.360929836890978,2.492915584493248"
(開場白) 五十歲的心情,豬頭皮,人生半百才開始,16.0,"4.53433122892325,2.926033099017567,-3.0352915990629916,1.4115231911435104,0.3809425552020113,0.0,2.490295817418638,4.705761656635063,2.215924963993998"
1 Lira (feat. Anıl Piyancı),Emrah Karakuyu,Günlerim,14.0,"4.508309241956689,3.104685284931181,-1.9078422687623522,0.7382570934973611,0.5402458055592161,0.0,1.060058354711988,4.60229118645093,1.9389343434947484"
1 de Abril,Plutónio,"Sacrifício: Sangue, Lágrimas, Suor",21.0,"5.035254478029549,3.1288274722168046,-2.2665132968221826,2.122362208266141,0.6683810286726198,0.0,1.2619742317999856,5.093069726019953,2.9084015152421228"
10 Bleikir Símar,Geisha Cartel,10 Bleikir Símar,12.0,"3.1161329392456767,2.926033099017567,-2.5203760599362344,1.0561036825821948,1.277889116995838,0.0,2.0317785131979766,5.046059886516006,1.6619437229954985"
10 Vuotta,"Juju, Hanna",10 Vuotta,8.0,"4.0334079798169515,2.930861536474692,-3.343079458916956,1.0459488394804428,0.06995490559164208,3.1975998682001955E-5,1.9770929631533105,3.486156235913975,1.107962481996999"
100 Hesab,"Ahmed Saad, Hassan Shakosh",100 Hesab,14.0,"3.382858305652927,3.84343621587126,-1.5895459285180462,1.584155523873292,1.3332989432070397,5.312306490300644E-6,1.5059559166146494,3.481866762428081,1.9389343434947484"
100 Mét Trên Không (#100m0),"WangNan, Galaxyy",100 Mét Trên Không (#100m0),18.0,"4.5278257321816096,2.6170131017615867,-1.3885021063133456,0.3229240106357096,2.2406348474154667,0.0,1.7583507629746464,3.8371955863937437,2.492915584493248"
100 feat. tuukkapekka,LEINO,100 feat. tuukkapekka,8.0,"4.6969686474642565,3.7034115296146437,-1.6473425706649272,0.6529564114426454,1.5826431611574472,0.0,1.4638901088879832,3.1392319900792103,1.107962481996999"
1000 Tahun Lamanya,Tulus,Meets the Stars,20.0,"4.586375202856372,2.254880292477234,-2.3881904381840373,0.4488440650974328,2.119425852578463,0.0012923207135058297,3.2769264219072958,2.99924868461271,2.769906204992498"
