title,artist,album,language_id,scaled_vectorized_features_str
"#0000FF",Jasmine Sokko,#0000FF,-2.0,"4.475781758248488,2.3128215419627303,-2.0674052473209663,0.8316816500334784,1.7731144387584528,0.0,1.0095793854399884,4.883931738256475,-0.2769906204992498"
"#LIFEGOALS","Jonna Fraser, Maan",LION,0.0,"3.5715177111604945,2.7522093505610776,-2.0815087341606358,2.06143314965563,1.2952046876868386,9.603015578620395E-5,0.5720949850826601,5.582592809934568,0.0"
"#LikeMe",#LikeMe Cast,#LikeMe (Soundtracks),-2.0,"3.8252320840844636,3.828950903499886,-2.158939642299998,0.3950233966581478,1.9185652325628573,0.0,1.686838889839314,4.706598627071335,-0.2769906204992498"
"#janeinvielleicht",Pizzera & Jaus,#janeinvielleicht,4.0,"3.356836318686366,2.2307381051916106,-2.539457248013434,1.0459488394804428,0.4432786096896132,0.0,1.0979175816659874,2.8965105635603163,0.5539812409984995"
$tacks,CURFEW,$tacks,-2.0,"1.307604845069689,4.075201213813245,-2.0994837664072734,2.4270075013186974,0.2261413532244667,0.02559101491962137,0.19266139938813112,5.19960908780375,-0.2769906204992498"
(Another Song) All Over Again,Justin Timberlake,FutureSex/LoveSounds,0.0,"4.0594299667835125,1.7527227969362653,-2.0671287083633256,0.3645588673528922,1.1913112635408354,9.143296747728992E-4,0.8960017045779897,3.535851355567628,0.0"
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,0.0,"3.382858305652927,1.7527227969362653,-3.4996005089415227,0.29042851271010356,0.26042618319264776,5.772025321192046E-5,1.148396550937987,4.57627535539014,0.0"
(I Can’t Be Your) Medicine,Sval,(I Can’t Be Your) Medicine,-2.0,"2.953495520704671,2.9791459110459386,-2.600572357652002,1.1881166429049692,0.10839547252566323,3.544942984873699E-5,0.87076221994199,3.471997486033706,-0.2769906204992498"
(Ich wünsch dir) Sternstunden - der BR Benefizsong,"BAYERN 3, Christina Stürmer, Das Münchner Rundfunkorchester",(Ich wünsch dir) Sternstunden - der BR Benefizsong,4.0,"2.823385585871866,2.1245124811348672,-3.498494353110961,0.4305653475142794,0.15895693894338472,0.006793622723172939,0.2978259187047966,2.5789151567632516,0.5539812409984995"
+7 HRS,Banner.,+7 HRS,-2.0,"3.3958692991362076,2.6990965385327064,-2.9437572040839597,0.3208930420153592,0.002212929934309866,0.08223859085946189,1.8761350246093118,3.6317890918253117,-0.2769906204992498"
+REWIND170205+,CL,In The Name Of Love,-2.0,"2.829891082613506,2.9888027859601882,-1.8157547958680396,1.3810586618382548,0.27704913105600826,3.5194030498241765E-5,1.3965848165253174,4.559047713910208,-0.2769906204992498"
.Bound,Casper The Ghost,.Bound,-2.0,"3.4739352600358906,2.8342927873321977,-1.5458527732108347,0.5940583214524846,0.7134015124692211,0.0,0.17499376014293133,5.2971510173976215,-0.2769906204992498"
0043,Wanda,Niente,-2.0,"2.719297638005622,1.7768649842218889,-2.1354338309005487,0.29652141857115466,0.47444663693341416,0.0,0.31423158371819643,4.132157917643285,-0.2769906204992498"
00:00 (Zero O’Clock),BTS,MAP OF THE SOUL : 7,-2.0,"3.682111155768378,2.6459837265043347,-1.785335510527576,0.5879654155914334,0.27774175388364825,0.0,0.8244898314426572,5.510020498356146,-0.2769906204992498"
01:52,Turisti,01:52,-2.0,"2.986023004412872,1.9941446697925003,-3.4277003799549726,0.7514583895296385,0.46752040865701394,0.0,1.1441899701653202,2.873947235549149,-0.2769906204992498"
0321,space x,0321,-2.0,"4.2806168559992805,2.0134584196209993,-1.7933551402991528,0.37166725752411855,2.1644463363750646,0.0,0.3146522417954631,5.997381408643724,-0.2769906204992498"
04:25,Amara,04:25,-2.0,"2.478594258564933,2.3417921667054786,-2.962561853203519,2.0918976789608856,1.5549382480518463,0.0,0.9338609315319893,6.2915765169933495,-0.2769906204992498"
04:30,Ufo361,WAVE,-2.0,"4.6839576539809755,3.186768721702301,-2.0928468314238993,0.6712351290257988,0.8380736214444249,1.5477200640010531E-4,0.6604331813086591,5.578582326594098,-0.2769906204992498"
05:30,Elias Boussnina,05:30,-2.0,"4.521320235439969,2.399733416190975,-2.4401797622204664,1.3099747601259915,0.9454301597286282,1.0062734409511797E-4,0.29235736370033,3.248282263171823,-0.2769906204992498"
08-09-10,DeeThane,Real One,-2.0,"3.766682613409701,2.790836850218075,-2.1379226815193135,0.7859848560755949,2.2302455050008665,0.0,1.5858809512953151,3.853900121351007,-0.2769906204992498"
1 SIDED LOVE,blackbear,1 SIDED LOVE,-2.0,"3.7992100971179026,2.027943731992373,-2.164470421452809,0.3269859478764103,0.8172949366152242,0.0,1.190462358664653,3.1404176981972625,-0.2769906204992498"
1+1 (feat. Råsa),Anis Don Demina,1+1 (feat. Råsa),-2.0,"4.0334079798169515,3.375077782530164,-1.7137119204986662,1.7770975428065776,1.8735447487662558,0.0,1.2030821009826527,5.054464464646905,-0.2769906204992498"
"1,2,3,4",The Minds Of 99,"1,2,3,4",-2.0,"2.563165716206256,3.5537299684437778,-1.7778689586712804,0.6326467252391417,1.34715139975984,1.1697290252681225E-4,0.5216160158106606,4.571776639295178,-0.2769906204992498"
10 Do C,Phúc Bồ,10 Do C,-2.0,"2.2899348530573658,1.3954184251090376,-2.5001887160284717,0.34729563407991404,2.02938488498526,0.0,0.7698042813979912,5.212128770579652,-0.2769906204992498"
"10,000 Hours (with Justin Bieber) - Piano",Dan + Shay,"10,000 Hours (with Justin Bieber) [Piano]",-2.0,"2.771341611938744,1.7672081093076395,-1.8013747700707297,0.3168311047746584,2.6492823157230787,0.0,1.6237401782493148,6.268071597241376,-0.2769906204992498"
"10,000 Hours - Acoustic","Adam Christopher, Dan Berk","10,000 Hours (Acoustic)",-2.0,"3.3958692991362076,1.8444631086216348,-1.8707860484385146,0.314800136154308,1.34715139975984,0.0,2.183215421013975,5.923693136483606,-0.2769906204992498"
"10,000 Ночей",Markul,Sense Of Human,-2.0,"3.6951221492516586,2.1245124811348672,-3.1212952148892117,1.0662585256839465,1.2882784594104384,0.010215974019808931,0.5089962734926609,3.3130777244465506,-0.2769906204992498"
100 (feat. Kesi),Kimbo,12.12,-2.0,"2.777847108680384,2.9356899739318165,-1.8605541070058134,0.8509758519268069,0.2583483147097277,0.0,0.9002082853506563,4.109943327313898,-0.2769906204992498"
100 PACIENCIA,Conan Osíris,ADORO BOLOS,-2.0,"4.0854519537500735,2.9550037237603153,-2.1304561296630182,0.477277625782338,1.34022517148344,0.004566540386854593,1.2283215856186525,3.8366376061028955,-0.2769906204992498"
100 por Hora,"Bagua Records, Agnes Nunes, CMK",100 por Hora,-2.0,"2.6217151868810187,2.1969390429917377,-1.9686808394432795,0.6874828779886017,2.34106515742327,0.0,0.3340025133497295,6.963524282247093,-0.2769906204992498"
"100,000 People",Kings of Leon,When You See Yourself,0.0,"2.7323086314889027,2.2500518550201094,-2.397592762743817,0.3280014321865855,1.1151227525004332,0.679362272317294,0.45010414267532817,2.72067702440683,0.0"
100.000,Slomo,100.000,-2.0,"4.039913476558592,2.2790224797628573,-2.412249327498768,0.35440402425114037,0.3878687834784115,0.0,1.2619742317999856,4.011215689601974,-0.2769906204992498"
1000 LÜGEN,"Payman, Belah",1000 LÜGEN,4.0,"4.3326608299324025,2.5204443526190925,-2.2958264263320842,1.1779617998032172,1.1185858666386332,1.2361328563968807E-5,1.2577676510273188,5.926692280546915,0.5539812409984995"
1001 Noches - Versión Acústica,Fonseca,1001 Noches (Versión Acústica),1.0,"3.45441876981097,2.5542434148189654,-1.7723381795184687,0.43259631613462973,2.0259217708470603,0.0,1.8382757976553123,3.552730259365781,0.1384953102496249"
100P (feat. Floni),Joey Christ,Joey 2,-2.0,"4.482287254990128,2.7956652876752,-2.184934304318212,0.9433849241527489,1.1947743776790354,0.0,1.4428572050246502,5.65115463817252,-0.2769906204992498"
103 feat. motoki ohmori,KERENMI,1,-2.0,"3.99437499936711,2.481816852962095,-2.6354162663147145,0.4061937240700749,0.47444663693341416,0.0,1.6027072743859816,3.4859818670730847,-0.2769906204992498"
11 (Eleven),Wanna One,1÷x=1 (Undivided),-2.0,"3.012044991379433,3.12399903475968,-1.5287073578371189,0.7727835600433175,0.8346105073062248,0.0,2.115910128651309,4.500982889893835,-0.2769906204992498"
11 (Eleven) (Prod. Dynamic Duo),Wanna One - No.1,1÷x=1 (UNDIVIDED),-2.0,"3.012044991379433,3.12399903475968,-1.5287073578371189,0.7727835600433175,0.8346105073062248,0.0,2.115910128651309,4.500982889893835,-0.2769906204992498"
11 Giugno,Fast Animals and Slow Kids,Forse non è la felicità,6.0,"2.023209486650116,3.1384843471310537,-1.76819009515386,0.4620453611297102,1.0874178393948324,0.2426293829704621,0.17962099899286463,4.36176680732725,0.8309718614977493"
