title,artist,album,language_id,scaled_vectorized_features_str
"#BabyBaby",MONSTAR,Những Bản Hits Do Khắc Hưng Sáng Tác,18.0,"4.6709466604976955,4.4711330852974704,-0.8893492877721011,0.33003240080693586,1.2432579756138369,0.0,3.5924199798572922,3.4873070702638493,2.492915584493248"
"#BrooklynBloodPop!",SyKo,#BrooklynBloodPop!,9.0,"4.495298248473408,3.9303480900995043,-1.047529571542512,1.1881166429049692,0.056795071866481694,0.0,2.141149613287309,4.603755884714406,1.246457792246624"
"#COMOTODOSFAZEM",NTS,#COMOTODOSFAZEM,21.0,"3.8317375808261036,4.065544338898996,-1.6531498887753793,3.3307885373746142,0.14164136825238421,0.0,2.7426906637786352,4.8787355467979525,2.9084015152421228"
"#DDDing","The Darkraver, The Viper, Ross",#DDDing,25.0,"3.9098035417257866,4.693241208325206,-0.6943893226354931,0.49657182767566654,0.21263520808548633,0.025335615569126148,2.814202536913968,5.232041692209291,3.462382756240622"
"#Lávkóma",Kis Grófo,#Lávkóma,12.0,"5.783386603318177,4.393878085983475,-0.864460781584449,0.5260208726707469,0.1371393198727241,0.018388753235656075,3.201207967999297,4.463981821856974,1.6619437229954985"
"#MYפסטיגל",Participants of Festigal,#MYפסטיגל,9.0,"4.176528908133037,3.3992199698157872,-1.456530689892928,0.7209938602243828,1.2363317473374367,0.0,2.2336943902859745,4.603407147032627,1.246457792246624"
"#Sohavégetnemérős",Wellhello,#Sohavégetnemérős,12.0,"4.072440960266793,4.620814646468336,-0.601195693910618,1.0967230549892022,0.33661469423304996,0.0,2.170595678695975,4.25180981626201,1.6619437229954985"
"#tevagya",USNK,#tevagya,12.0,"5.84844157073458,3.713068404528893,-1.6985022778284342,0.7524738738398137,2.6285036308938783,1.3536165576246833E-4,2.9361933793212995,4.18513117150567,1.6619437229954985"
"#Алкоголичка",Arthur Pirozhkov,#Алкоголичка,10.0,"5.399562295561402,4.374564336154977,-0.655120790650531,0.8032480893485732,0.14510448239058432,8.530338306540457E-6,3.2811330026799626,4.4283059570108785,1.384953102496249"
"#ПеретанцуйМеня",Arthur Pirozhkov,#ПеретанцуйМеня,10.0,"5.204397393312195,4.340765273955104,-1.110027375969283,0.5798415411100319,0.1371393198727241,2.0023309078825503E-5,3.1507289987272973,4.1148256548588185,1.384953102496249"
"#คนเหงา2018","Point, Art Marut",#คนเหงา2018,19.0,"5.087298451962671,3.2543668461020467,-1.713158842583385,0.27418076374730055,2.0363111132616605,0.003810558309388731,3.0581842217286317,3.626976511816747,2.631410894742873"
"#敢 有色眼光",高爾宣 OSN,#敢 有色眼光,16.0,"3.408880292619488,3.249538408644922,-1.5143273320398087,0.35846596149184107,0.4502048379660134,0.0,2.2294878095133077,6.030371993340114,2.215924963993998"
(Bli med på) Trøkk n Truck,KROM,Trøkk n Truck,25.0,"3.20720989362864,4.186255275327113,-1.3614012884645688,0.33003240080693586,1.4406554814912427,0.0,3.1675553218179635,3.7175436877750183,3.462382756240622"
. În / Îm / Pre / / Ună . Înîmpreună . Împreună . Despre Neajunsul De a Te Fi Cunoscut.,Robin and the Backstabbers,. În / Îm / Pre / / Ună . Înîmpreună . Împreună . Despre Neajunsul De a Te Fi Cunoscut.,11.0,"3.148660422953878,4.311794649212356,-1.4319187226629164,0.6031976802440613,0.6198974307378184,0.0018797392196448432,2.195835163331975,4.254564843948072,1.5234484127458738"
...ก่อน,Supersub,...ก่อน - Single,19.0,"3.1096274425040367,4.133142463298742,-1.9495996513660796,0.6752970662664995,1.6415161015068487,7.253341554064341E-4,3.651312110674625,6.071662534862869,2.631410894742873"
05410-(ん),RADWIMPS,RADWIMPS 4 ～おかずのごはん～,16.0,"3.896792548242506,4.640128396296835,-0.7862002565721652,0.47118471992128685,4.779097510716142E-4,2.293486167447105E-5,3.3400251334972952,4.535298677780989,2.215924963993998"
1.000 Segredos (Come to Me),Rouge,Rouge,21.0,"5.523166733652567,3.6068427804721495,-1.2756742115959896,0.31886207339500877,0.2483052837089474,0.0,3.4409830720412935,3.4883532833091895,2.9084015152421228"
10 Anos - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),21.0,"4.475781758248488,4.2490249622697345,-0.5550136879846415,0.8682390851997851,0.06268236590142187,0.0,2.868888086958634,5.68745823084582,2.9084015152421228"
10 Kicsi Rénszarvas,Kerozin,Boldog Karácsonyt!,12.0,"3.174682409920439,3.3461071577874155,-2.3298407181218757,0.6417860840307184,0.09523563880050283,0.0,3.4325699104959604,4.6898243445777155,1.6619437229954985"
10 de Setembro,"Marília Mendonça, Maiara & Maraisa","Festa das Patroas, EP2",21.0,"4.2415838755494395,2.9550037237603153,-0.9474224688766226,0.5290673256012726,0.9973768718016296,0.0,1.9392337361993113,5.00724538253389,2.9084015152421228"
10% - Ao Vivo,Maiara & Maraisa,Ao Vivo Em Goiânia,21.0,"4.1114739407166345,4.587015584268463,-0.7881360292756493,1.1271875842944579,1.6692210146124495,0.0,2.5071221405093045,5.3707695420213835,2.9084015152421228"
100% Você,Chiclete Com Banana,Sou Chicleteiro,21.0,"4.130990430941555,4.533902772240092,-0.9416151507661703,0.7605977483212152,0.5229302348682155,0.0,3.045564479410632,4.1317045586569705,2.9084015152421228"
1000 Parça,"maNga, Kamufle, Joker, Tankurt Manas, Fate Fat, Dj Hırs",X,14.0,"4.065935463525153,4.688412770868082,-1.1741844141418971,1.4826070928557733,0.018319873791078547,3.6317787640420745E-5,2.2883799403306404,4.744122801630865,1.9389343434947484"
123 新年好,"Crayon Pop,Bowen,Ining Wei and ChaneL 크레용팝,王博文,魏一宁 and 陈骁",123 新年好,16.0,"4.924661033421665,3.568215280815152,-2.229457076498345,0.9768959063885301,0.2988667501266689,1.5017481809119127E-5,4.050937284077953,4.396570827968897,2.215924963993998"
12月の雨,chay,運命のアイラブユー,16.0,"4.300133346224202,3.3316218454160413,-1.7767628028407179,0.3117536832237825,2.500368407780474,8.836817527134725E-4,2.9319867985486328,4.429700907737998,2.215924963993998"
14番目の月,Yumi Arai,14番目の月,16.0,"3.662594665543457,4.08002965127037,-1.3282166135476994,0.271134310816775,0.014302661390766426,0.4837263698379529,3.815368760808623,5.16783908499359,2.215924963993998"
15er Steyr,"Stefan Rauch, Petutschnig Hons",15er Steyr,14.0,"4.3066388429658415,4.596672459182712,-0.8116418406750985,0.5605473392167033,0.4502048379660134,0.02451833764754143,3.8742608916259558,4.01023922409299,1.9389343434947484"
1LDK,Mashiro Shirakami,東京におけるセックスフレンドや恋人のなにがし(またはそれに似た情事)について聞いて書いた。,16.0,"4.404221294090446,4.0607159014418714,-1.6332390838252575,0.30769174598308174,2.493442179504074,5.720945451093001E-5,3.108663191000631,3.2083866723761885,2.215924963993998"
2 Yuh,"Irie Kingz, Gyptian",2 Yuh,25.0,"4.117979437458275,3.6309849677577732,-1.5873336168569216,1.990349247943367,0.9973768718016296,0.0,2.5029155597366377,3.380523592102807,3.462382756240622"
20世紀少年,PA PUN BAND,20世紀少年,16.0,"3.688616652510018,4.220054337526986,-2.098654149534352,0.5250053883605719,0.26458192015848786,5.000719282696472E-4,1.8382757976553123,4.812998493782419,2.215924963993998"
21세기 소녀,BTS,WINGS,17.0,"4.6579356670144145,4.374564336154977,-0.978671371090008,0.7281022503956093,0.014648972804586437,0.0,3.205414548771963,3.5232270514871913,2.354420274243623"
22 dní,Miro Žbirka,Nemoderný chalan,18.0,"3.6300671818352566,4.15245621312724,-2.2413482516768903,0.43259631613462973,0.005956556317704177,0.0015834759730703842,3.264306679589296,4.786738546344383,2.492915584493248"
23 Nisan,Metin Özülkü,Çocuk Şarkıları,14.0,"5.750859119609976,2.356277479076853,-3.3425263810016745,0.3645588673528922,0.30821715829980917,0.0,4.071970187941287,4.049786077206844,1.9389343434947484"
23 Nisan Kutlu Olsun,Sinan Kayabaşı,Karnaval Çocuk,14.0,"4.475781758248488,4.273167149555358,-1.4056475216870614,0.4244724416532282,0.006406761155670191,0.019052791546943653,2.9614328639572993,4.010971573224728,1.9389343434947484"
24พฤษภา,Jazz Spooknickpapiyongkookkook,24พฤษภา,19.0,"6.089144950175269,3.085371535102682,-2.413908561244611,0.9768959063885301,1.0908809535330324,0.0,3.5209081067219596,4.745134140908027,2.631410894742873"
24시간이 모자라,SUNMI,24 Hours,17.0,"4.80756209207214,3.775838091471514,-1.096200428087254,1.0459488394804428,0.019012496618718566,7.202261683965296E-5,2.5407747866906374,4.3920023643375785,2.354420274243623"
2D Tüdrukud,"Clicherik & Mäx, Karl Killing",2D Tüdrukud,12.0,"4.963694013871507,2.930861536474692,-2.5707061502268194,1.7364781703995702,0.4432786096896132,0.0,3.449396233586627,5.2335761380091235,1.6619437229954985"
3090~愛のうた~,LGMonkees,あいことば,16.0,"3.968353012400549,4.176598400412864,-0.9283412807994227,0.4559524552686591,1.3852456552800412,0.0,2.6964182752793024,3.1386391360201844,2.215924963993998"
31 Ogos,Dato Sudirman,Jiwa Merdeka,20.0,"4.1374959276831955,3.7710096540143896,-1.6224540644772751,0.3158156204644832,0.40518435416941206,0.13536165576246834,3.9836319917152876,4.750469827439261,2.769906204992498"
3inehom Mesawsa,Cheb Bello,100% Cheb Bello,25.0,"4.196045398357958,4.036573714156248,-1.5989482530778258,0.7900467933162956,1.7627250963438523,0.0,3.987838572487954,3.3442199994295065,3.462382756240622"
4 da manhã,UM44K,4 da manhã,21.0,"5.165364412862354,2.288679354677107,-1.9338369307805667,0.39299242803779744,2.285655331212068,0.0,3.605039722175292,3.9048506966590675,2.9084015152421228"
