title,artist,album,language_id,scaled_vectorized_features_str
"#Maldeamores","Mario Bautista, De La Ghetto",#Maldeamores,1.0,"4.7360016279140975,3.8820637155282576,-0.8647373205420894,1.2388908584137284,0.4882990934862145,2.6306133101007995E-4,3.390504102769295,6.346153964191923,0.1384953102496249"
"#háttérzaj","Zävodi, Berkes Olivér",#háttérzaj,12.0,"1.9061105453005915,2.578385602104589,-1.8359421397758018,0.7819229188348942,1.4302661390766425,0.0,1.1315702278473205,7.0880236346425605,1.6619437229954985"
(500) days of innocence,ANIMAL HACK,Boy,0.0,"2.979517507671232,4.4373340230975975,-0.7989210486236318,0.7829384031450694,0.013956349976946414,0.7559820774658609,2.410370782737972,5.579837782248506,0.0"
(Christmas Eve) After Midnight,Björn Skifs,(Christmas Eve) After Midnight,0.0,"1.730462133276305,2.4721599780478454,-2.45649556072126,0.43259631613462973,0.9904506435252294,0.0,1.9055810900179782,7.051057440373878,0.0"
(Dont Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,0.0,"2.1663304149662013,4.475961522754595,-2.364408087826948,0.7443499993584123,0.010043031000780299,0.0010624612980601287,1.619533597476648,4.933452489069238,0.0"
(I Cant Help) Falling In Love With You,UB40,Promises And Lies,0.0,"4.176528908133037,3.486131844044032,-3.603579157014381,0.3808066163156952,0.1537622677360846,0.019818989598429326,3.516701525949293,6.012446876496622,0.0"
(I Want to Be Your) Mirror,Temples,Volcano,-2.0,"2.7388141282305427,3.8965490278996318,-2.2579405891353246,0.3990853338988486,2.0709422546436615E-4,0.6384983762380582,1.1526031317106535,4.985763141336242,-0.2769906204992498"
(If You Want the Smoke) Be the Fire,MaidaVale,Tales of the Wicked West,-2.0,"1.626374185410061,3.3364502828731664,-2.154238480020108,0.38588403786657116,0.005402458055592161,0.004525676490775356,2.1874220017866417,5.842018771410726,-0.2769906204992498"
(On va) Déconner,Charlelie Couture,Lafayette,5.0,"3.005539494637793,3.355764032701665,-1.5906520843486085,0.5077421550875937,0.606044974185018,2.998388374813921E-4,2.9488131216392994,6.70036682757589,0.6924765512481245"
(what i wish just one person would say to me),LANY,mamas boy,-2.0,"1.5873412049602196,3.1964255966165505,-1.9802954756641837,0.4945408590553162,0.20709422546436615,5.5677058407958675E-5,1.068471516257321,5.99867173806631,-0.2769906204992498"
+,"Aitana, Cali Y El Dandee",+,-2.0,"3.6495836720601775,3.215739346445049,-1.1733547972689755,0.3269859478764103,0.3670900986492109,0.0,2.8394420215499676,5.58046551007571,-0.2769906204992498"
+ (MÁS),"Aitana, Cali Y El Dandee",11 RAZONES,1.0,"3.6495836720601775,3.2736805959305455,-1.169759790819648,0.3290169164967606,0.3449261681647302,0.0,2.7847564715053017,5.581267606743804,0.1384953102496249"
... y vuelo,Vanesa Martín,... y vuelo,-2.0,"3.096616449020756,3.809637153671387,-1.496352299793171,1.1576521135997135,0.25453888915770756,0.0,1.6363599205673147,4.7712894670415285,-0.2769906204992498"
...Ready For It?,Taylor Swift,...Ready For It?,-2.0,"4.0073859928503905,3.717896841986018,-1.7975032246637614,1.4419877204487657,0.19843644011886588,0.0,1.7331112783386466,5.58151172312105,-0.2769906204992498"
00840,Knipi,00840,-2.0,"3.4218912861027686,4.147627775670116,-1.785888588442857,0.319877557705184,0.27254708267634814,0.012054849343374538,3.6765515953106247,5.40417861193591,-0.2769906204992498"
03:27,"JóiPé, Króli",22:40-08:16,-2.0,"4.8400895757803415,2.781179975303826,-2.23637055043936,0.8692545695099603,0.17038521559944506,0.0056698655809939566,2.523948463599971,5.581546596889228,-0.2769906204992498"
07 Britney,Chelsea Collins,07 Britney,-2.0,"3.0901109522791157,4.084858088727494,-0.40512957294344776,0.634677693859492,0.3809425552020113,0.0,1.6027072743859816,5.377186315366136,-0.2769906204992498"
0832,Oma Hans,Trapperfieber,-2.0,"2.3549898204737683,4.601500896639837,-1.1772263426759433,1.1068778980909542,1.2917415735486383E-4,0.5669865580993957,1.434444043479317,4.679118097747069,-0.2769906204992498"
0´60,Ojete Calor,Delayed!,0.0,"3.864265064534305,4.432505585640473,-1.966468527782155,1.431832877347014,0.009038727900702268,1.2565648044364985E-4,3.638692368356625,5.5793495494940135,0.0"
1 MILLI,Cledos,KAZAMA,-2.0,"4.5928806995980125,3.5392446560724036,-2.765942654321068,0.4092401770006005,0.20778684829200617,0.012821047394860209,2.557601109781304,5.228624062927848,-0.2769906204992498"
1 Up,NEEL,1 Up,-2.0,"3.5194737372273726,3.6551271550433966,-2.0411340463451113,1.350594132532999,1.4475817097676429,0.0,1.7751770860653129,5.788208547112069,-0.2769906204992498"
1+1,Ready Kirken,Asi se něco děje,-2.0,"4.1374959276831955,3.4426759069299098,-1.8304113606229901,0.5341447471521485,0.2895163419535286,0.036113468160024566,3.802749018490623,6.10304892622307,-0.2769906204992498"
"1, 2 Many","Luke Combs, Brooks & Dunn",What You See Is What You Get,-2.0,"3.512968240485732,3.964147152299377,-1.0478061105001526,0.8885487714032888,0.1374856312865441,0.0,2.881507829276634,5.188902840973103,-0.2769906204992498"
"1, 2 Selfoss","Hreimur, Love Guru",Party Hetja,-2.0,"3.376352808911287,4.1041718385559935,-2.2662367578645424,0.7737990443534927,0.04536679521042135,0.009041137007530904,1.0852978393479875,5.299940918851862,-0.2769906204992498"
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,"1,000,000 TIMES",-2.0,"1.6393851788933416,4.765667770182077,-0.8276811002182519,3.097227146034321,0.013229096007924393,0.0,0.9927530623493219,6.970359540809982,-0.2769906204992498"
1.Signalni,Chinaski,1. signalni,-2.0,"4.2806168559992805,2.824635912417948,-2.796361939661532,0.4092401770006005,0.5437089196974162,0.010777852590898421,2.33885890960264,5.587405389943132,-0.2769906204992498"
1/3の純情な感情 (アルバムバージョン),シャム シェイド,SIAM SHADE IV・Zero,-2.0,"3.428396782844409,4.263510274641108,-1.2828642244946444,0.54226862163355,0.033765362847451005,0.0,2.170595678695975,5.3014404908835155,-0.2769906204992498"
10 Minučių,"Keanu Blunt, Free Finga",10 Minučių,11.0,"4.039913476558592,3.3799062199872885,-2.23166938815947,0.4214259887227027,0.16588316721978494,1.2054849343374537E-5,1.531195401250649,5.650561784113494,1.5234484127458738"
10 Razones Para Amarte,"Carlos Vives, Martin Elías",10 Razones Para Amarte,1.0,"2.8689240630633477,4.374564336154977,-1.079608090628819,1.5638458376697884,0.3844056693402114,0.0,3.3400251334972952,5.633438763938096,0.1384953102496249"
10 Razones para Amarte,"El Gran Martín Elías, Juancho De La Espriella",La Historia Continua,1.0,"3.46092426655261,3.713068404528893,-1.333747392700511,0.7423190307380618,1.7557988680674521,0.0,3.5461475913579594,5.586463798202327,0.1384953102496249"
"10,000 HOURS - 國際中文版",Jung Yong Hwa,"10,000 HOURS (國際中文版)",-2.0,"4.1635179146497565,1.9844877948782509,-1.514050793082168,0.4183795357921771,1.5653275904664465,0.0,2.8646815061859674,5.999194844588981,-0.2769906204992498"
"10,000 Hours","Lawrence Shay, Dan Williams","10,000 Hours",-2.0,"3.6300671818352566,2.8198074749608235,-1.1866286672357231,0.45392148664830867,2.6007987177882774,0.0,2.793169633050635,6.270059402027523,-0.2769906204992498"
100 Años,"Ha*Ash, Prince Royce",30 de Febrero,1.0,"3.6691001622850976,3.626156530300648,-1.3702505351090672,0.8296506814131279,0.28674585064296854,0.0,2.3220325865119738,5.929761172146579,0.1384953102496249"
100 Bad Days,AJR,100 Bad Days,-2.0,"4.072440960266793,3.085371535102682,-1.5541489419400523,0.8631616636489092,0.1610348074263048,0.0,2.6837985329613026,5.022136481545897,-0.2769906204992498"
100 Vidas,Calma Carmona,100 Vidas,-2.0,"4.072440960266793,3.9303480900995043,-1.3813120934146905,0.7047461112615799,0.3844056693402114,0.0669146298297485,2.620699821371303,5.928261600114924,-0.2769906204992498"
100 sydäntä,Lucas,100 sydäntä,8.0,"1.9581545192337135,4.3262799615837295,-1.1678240181161637,1.746633013501322,0.5021515500390149,0.0,1.0179925469853217,6.109395952031467,1.107962481996999"
100 zhivota,Galena,100 zhivota,-2.0,"3.9032980449841466,3.891720590442507,-1.5925878570520926,2.132517051367893,0.42249992486041255,0.0,2.2799667787853073,6.8341077285385285,-0.2769906204992498"
100% Nem Aí - Ao Vivo,Marcos & Belutti,100% Nem Aí (Ao Vivo),-2.0,"3.643078175318537,4.71738339561083,-0.7256382248488785,1.1576521135997135,0.5125408924536152,0.0,2.7847564715053017,5.8255234790625305,-0.2769906204992498"
1000 Faces (with Dia Frampton),Jason Ross,1000 Faces,-2.0,"2.907957043513189,4.239368087355485,-1.5776547533395013,0.7352106405668356,0.267352411469048,1.2872127264959252E-5,1.4049979780706507,5.227508102346151,-0.2769906204992498"
1000 Sterre,bjorn & mieke,1000 Sterre,-2.0,"4.065935463525153,3.389563094901538,-1.8232213477243353,0.39299242803779744,0.7688113386804228,0.0,2.4650563327826385,4.777775987922637,-0.2769906204992498"
105,Sloan Peterson,105,-2.0,"3.922814535209067,4.350422148869353,-1.1238543238513117,0.3594814458020163,6.40676115567019E-4,2.666369219170131E-4,2.582840594417304,5.072808066708534,-0.2769906204992498"
11 RAZONES,Aitana,11 RAZONES,1.0,"3.5780232079021346,4.220054337526986,-1.0887338762309582,0.5158660295689951,0.020744053687818616,0.0,1.4638901088879832,5.789429128998298,0.1384953102496249"
11-Gatsu No Anklet,AKB48,11-Gatsu No Anklet (Type-A),-2.0,"3.0640889653125547,4.587015584268463,-0.7463786466719218,0.4671227826805861,1.0804916111184322,0.0,2.4398168481466387,4.530625592845136,-0.2769906204992498"
11:11,TAEYEON,My Voice - The 1st Album (Deluxe Edition),-2.0,"2.8949460500299087,2.549414977361841,-2.0029716701907114,0.7555203267703392,2.3445282715614697,0.0,2.149562774832642,7.084780374202007,-0.2769906204992498"
12 hónap,"Rico, Miss Mood, T. Danny",12 hónap,12.0,"3.7796936068929816,2.897062474274819,-1.7999920752825267,0.5950738057626597,2.2371717332772665,0.0,3.053977640955965,7.112784010048942,1.6619437229954985"
124 Benz,Tomgang,124 Benz,-2.0,"3.038066978345994,3.7082399670717683,-1.6857814857769677,0.32190852632553435,0.9419670455904281,0.005414466230498733,3.45780939513196,5.894399171214084,-0.2769906204992498"
13%,The Noiserz,13%,-2.0,"1.9841765062002745,4.4807899602117205,-0.7079397315598814,1.8684911307223444,0.011324383231914337,2.2424062973480604E-5,2.1916285825593085,6.837699726660862,-0.2769906204992498"
13樓的大笨象,Stephanie Cheng,13樓的大笨象,16.0,"2.751825121713823,3.4813034065869073,-1.6144344347056983,0.4315808318244546,1.1913112635408354,0.0,2.02757193242531,5.860397247240532,2.215924963993998"
14 De Febrero,Feid,14 De Febrero,1.0,"3.298286848011604,2.829464349875073,-1.5007769231154204,0.5026647335367177,2.7427863974544815,0.0,3.032944737092632,5.898618897163622,0.1384953102496249"
149.6,Bodyslam,149.6 - Single,-2.0,"2.9469900239630307,4.224882774984111,-1.1346393431992943,0.5737486352489808,0.032726428605990975,0.0,1.4134111396159839,5.43926162272298,-0.2769906204992498"
15 Magamata Ööd,Ines,15 Magamata Ööd,-2.0,"4.4237377843153665,3.157798096959553,-1.9133730479151638,0.4589989081991846,0.436352381413213,0.0,3.5461475913579594,5.578826442971344,-0.2769906204992498"
16 HK Rap Up (Radio Edit),MastaMic,16 HK Rap Up,-2.0,"4.599386196339652,4.673927458496708,-0.5810083500028558,2.0309686203503747,0.67530725694902,0.0,4.084589930259287,6.280277416103678,-0.2769906204992498"
16 Steps,"Martin Jensen, Olivia Holt",16 Steps,0.0,"3.9098035417257866,3.2543668461020467,-1.5591266431775825,1.269355387718984,0.19428070315302576,0.0,2.5071221405093045,6.279196329290159,0.0"
17. Mai-Sang (Tenk At Nå Er Dagen Her),Pudding-TV,Norske Barnesanger,-2.0,"3.9293200319507076,3.466818094215533,-2.3223741662655795,0.5087576393977687,0.036709009864921094,0.0,4.06776360716862,6.2073214930752965,-0.2769906204992498"
17. mai-sang (Tenk at nå er dagen her),Pudding-TV,Norske Barnesanger,-2.0,"3.9293200319507076,3.466818094215533,-2.3223741662655795,0.5087576393977687,0.036709009864921094,0.0,4.06776360716862,6.2073214930752965,-0.2769906204992498"
19 (Mäsänä),Anni Lahe,19 (Mäsänä),-2.0,"4.2155618885828785,2.6025277893902126,-2.386531204438194,0.5057111864672432,0.07861269093714233,0.0,2.4650563327826385,5.299138822183767,-0.2769906204992498"
19 summer note.,SILENT SIREN,19 summer note.,-2.0,"2.875429559804988,4.620814646468336,-0.5093847599739459,0.8702700538201354,0.007376433114366219,0.0030188203228535392,3.436776491268627,6.036614397843977,-0.2769906204992498"
1901,Phoenix,Wolfgang Amadeus Phoenix,-2.0,"3.9293200319507076,3.983460902127876,-1.4858438194028294,0.4356427690651553,0.1953196373944858,2.96263246574459E-4,2.974052606275299,5.024786887927426,-0.2769906204992498"
1933,Frank Turner,1933,-2.0,"3.0901109522791157,4.128314025841616,-1.0997954345365815,1.594310366975044,0.030232986426486898,0.0,2.759516986869302,6.483486863276895,-0.2769906204992498"
1939,Antony Parviainen,Raskasta Joulua 2,8.0,"2.1077809442914393,3.5585584059009023,-1.714264998413947,0.47423117285181243,0.02659671658137679,0.0,0.7950437660339909,5.641320235546324,1.107962481996999"
1972,Anssi Kela,Suuria Kuvioita,8.0,"3.591034201385415,2.829464349875073,-2.0026951312330707,0.813402932450325,0.11913112635408354,0.0,2.347272071147973,5.36961870767151,1.107962481996999"
1:a gången,Miss Li,Wolves,7.0,"3.1616714164371587,3.993117777042125,-1.3268339187594964,0.3503420870104396,0.0023445282715614697,0.2385429933625385,2.128529870969309,5.115109947508451,0.9694671717473742"
1・2・3,After the Rain,1・2・3,-2.0,"2.751825121713823,4.698069645782331,-0.7284036144252842,1.360748975634751,0.42942615313681276,0.0,2.250520713376641,6.349990078691503,-0.2769906204992498"
2 A.M.,Jump to the moon,2 A.M.,-2.0,"2.93397903047975,4.601500896639837,-1.1014546682824249,0.5635937921472289,7.72274452818623E-4,1.3740485056643013E-4,2.59966691750797,5.299871171315506,-0.2769906204992498"
2 Fast,SuperM,SuperM - The 1st Mini Album,-2.0,"3.0445724750876346,3.5585584059009023,-1.3295993083359021,0.9789268750088805,0.7861269093714234,0.0,2.0864640632426426,4.5349848138673865,-0.2769906204992498"
2 Veces,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",Recordando A Una Leyenda,1.0,"3.4153857893611286,2.4383609158479724,-1.1611870831327897,0.32495497925605993,1.8631554063516556,0.0,3.3231988104066286,6.276162311458672,0.1384953102496249"
2! 3!,BTS,WINGS,-2.0,"2.797363598905305,4.485618397668845,-1.1307677977923263,2.528555932336216,0.08034424800624239,0.0,2.566014271326637,5.919473410534068,-0.2769906204992498"
20,Capo Plaza,20,-2.0,"3.155165919695518,3.2398815337306726,-1.5168161826585742,1.9801944048416151,0.2060552912229061,0.0,1.0516451931666546,5.229112295682339,-0.2769906204992498"
20 años Escozíos,Mojinos Escozios,Maduritos y resultones,1.0,"3.6495836720601775,4.3600790237836025,-0.808046834225771,0.5260208726707469,0.019012496618718566,0.0,3.230654033407963,4.880374613902318,0.1384953102496249"
20 de Enero,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,1.0,"3.8577595677926646,4.311794649212356,-1.1191531615714219,0.35440402425114037,1.315983372516039,0.003080116166972393,2.7048314368246356,5.057707725087459,0.1384953102496249"
20/20,ONE OK ROCK,Ambitions,-2.0,"3.1161329392456767,4.40836339835485,-0.753568659570577,0.9200287850187197,0.005610244903884167,0.0,2.9488131216392994,5.752114197047836,-0.2769906204992498"
2011,"Dardan, Nimo",Emerald,-2.0,"4.287122352740921,3.853093090785509,-0.8628015478386055,1.7974072290100813,0.14960653077024447,3.744154478259973E-4,2.389337878874639,6.2045664653892345,-0.2769906204992498"
20143 Milano Navigli,Manfredi,20143 Milano Navigli,6.0,"3.9878695026254696,2.7135818509040806,-1.7488323681190194,0.4051782397598997,0.43288926727501287,0.008530338306540458,2.456643171237305,5.8552708033183665,0.8309718614977493"
2017 S Agapo,Eleni Foureira,2017 S Agapo,-2.0,"4.00088049610875,4.495275272583094,-1.196584069710784,2.1934461099784044,0.571413832803017,0.0,2.7973762138233016,6.0590382307824315,-0.2769906204992498"
21 Guns,Green Day,21st Century Breakdown,0.0,"1.7434731267595855,3.582700593186526,-1.3658259117868181,0.3604969301121914,0.17938931235876532,0.0,1.749937601429313,5.57209580571299,0.0"
21&19,Harts,21&19,-2.0,"3.8252320840844636,2.7039249759898314,-1.4996707672848582,0.4549369709584839,0.16553685580596492,0.12003769473275494,2.1243232901966422,6.135132792946833,-0.2769906204992498"
21st Century Rocks,Andy McCoy,21st Century Rocks,-2.0,"2.4981107487898537,4.191083712784238,-1.1172173888679378,0.6336622095493168,0.3636269845110108,0.05261226620201599,2.755310406096635,4.535752036767303,-0.2769906204992498"
22,"TINI, Greeicy",22,-2.0,"4.5798697061147315,3.104685284931181,-1.3011157956989228,0.9169823320881941,0.027947331095274832,0.0,3.390504102769295,6.139108402519125,-0.2769906204992498"
22703,Pauls Jets,22703,-2.0,"3.174682409920439,3.249538408644922,-2.470322508603289,0.4061937240700749,0.6995490559164208,0.0,3.3021659065432956,6.984413669385716,-0.2769906204992498"
23 Nisan Şarkısı,Şebnem Sarman,23 Nisan Şarkısı,14.0,"2.0362204801333963,2.6170131017615867,-1.3456385678790557,0.3777601633851696,2.787806881251083,0.0,2.9782591870479656,6.97475363560041,1.9389343434947484"
24-7,Matt Pardus,24-7,-2.0,"3.4739352600358906,4.306966211755231,-0.8199380094043157,0.7930932462468212,0.2763565082283682,0.001348508570614779,1.9686798016079776,5.578442831521387,-0.2769906204992498"
25 or 6 to 4 - 2002 Remaster,Chicago,Chicago II,-2.0,"3.9293200319507076,4.369735898697852,-1.9520885019848448,0.5869499312812582,1.0701022687038317,0.32282477902596224,3.041357898637965,5.142067370310047,-0.2769906204992498"
258km/h,Supper Moment,[dal segno],-2.0,"2.2248798856409637,4.601500896639837,-0.9883502346074281,1.0662585256839465,0.01624200530815848,0.0,1.4554769473426499,4.48483633522742,-0.2769906204992498"
29,許鈞,29,-2.0,"2.478594258564933,3.7806665289286387,-1.5035423126918264,1.0967230549892022,0.201553242843246,0.014557762978227726,1.6531862436579812,5.85903717028159,-0.2769906204992498"
29250,Salaliitto,29250,-2.0,"3.6495836720601775,4.3600790237836025,-1.7081811413458543,0.3178465890848336,0.16068849601248478,0.0,3.243273775725963,5.393088753655305,-0.2769906204992498"
2:AM,Anthony Russo,2:AM,-2.0,"2.7908581021636647,2.87774872444632,-1.6083505776376055,0.5869499312812582,0.6891597135018205,0.0,1.9812995439259773,5.16888529803893,-0.2769906204992498"
2Drunk,Nick Jonas,Spaceman (Classics Edition),-2.0,"4.2155618885828785,3.853093090785509,-1.683569174115843,1.817716915213585,0.11497538938824342,0.0,2.5533945290086373,5.441109932436413,-0.2769906204992498"
2U (feat. Justin Bieber),David Guetta,2U (feat. Justin Bieber),-2.0,"3.565012214418854,3.1384843471310537,-1.6113925061716519,0.6001512273135357,0.7584219962658225,0.0,2.3430654903753068,5.054499338415083,-0.2769906204992498"
2U (feat. Justin Bieber) - Seeb Remix,David Guetta,2U (feat. Justin Bieber) [Seeb Remix],-2.0,"4.157012417908116,3.548901530986653,-1.3683147624055834,0.9515087986341505,0.4882990934862145,0.0,2.431403686601305,4.8817695646294395,-0.2769906204992498"
3 Gin Tonic,Kaufman,3 Gin Tonic,-2.0,"3.6300671818352566,3.268852158473421,-1.5248358124301509,0.3239394949458847,0.34457985675091024,4.72488798416163E-4,3.041357898637965,5.580395762539354,-0.2769906204992498"
"3,2,1, Go!",Original Cast of Go! Vive A Tu Manera,Go! La Fiesta Inolvidable (Musica de la Serie Original de Netflix) [Spanish Version],1.0,"4.768529111622299,3.568215280815152,-1.6694656872761735,1.3302844463294954,0.8865572193792264,0.0,3.2474803564986297,6.701343293084874,0.1384953102496249"
30 40 50,Bianco,30 40 50,-2.0,"3.272264861045043,3.3943915323586626,-1.5591266431775825,0.3462801497697388,0.3054466669892491,0.05669865580993957,2.2589338749219743,5.513403253869412,-0.2769906204992498"
