_c0,title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo
7402029,,Nissy,,0.684,0.78,-4.352,0.0351,0.00234,0.0,0.762,127.95
485174,!,O.S.T.R.,W drodze po szczęście,0.561,0.798,-7.064,0.32,0.307,0.0,0.14,140.837
13259484,"\"\"\"Eungenio\"\" Salvador Dali\"",Mecano,Descanso Dominical/Une Femme Avec Une Femme,0.381,0.199,-15.769,0.052,0.925,0.000679,0.0456,145.726
486856,"\"A Lovely Night - From \"\"La La Land\"\" Soundtrack\"","Ryan Gosling, Emma Stone",La La Land (Original Motion Picture Soundtrack),0.3,0.487,-8.635,0.0515,0.342,0.00295,0.502,165.794
5438893,"\"A Whole New World - From \"\"Aladdin\"\"\"","gamaliél, Isyana Sarasvati","\"A Whole New World (From \"\"Aladdin\"\")\"",0.412,0.357,-7.409,0.0318,0.73,0.0,0.273,120.256
8957435,"\"Aaina (From \"\"The Body\"\")\"","Arko, Tulsi Kumar, Neha Kakkar","\"Aaina (From \"\"The Body\"\")\"",0.509,0.439,-6.571,0.031,0.513,0.0,0.367,111.298
9020124,"\"Aari Aari (From \"\"Satellite Shankar\"\")\"","Romy, Bombay Rockers, Tanishk Bagchi","\"Aari Aari (From \"\"Satellite Shankar\"\")\"",0.709,0.917,-2.987,0.0689,0.0987,1.6e-05,0.546,101.967
14220440,"\"Aattuthottil - From \"\"Athiran\"\"\"","P. S. Jayhari, P. Jayachandran, Fahad Fazil","\"Aattuthottil (From \"\"Athiran\"\")\"",0.568,0.266,-12.171,0.0315,0.806,0.0,0.239,85.935
13726725,"\"After Met You (From \"\"After Met You\"\")\"","Ari Irham, Yoriko Angeline","\"After Met You (From \"\"After Met You\"\")\"",0.641,0.518,-8.418,0.0298,0.483,6.99e-06,0.641,105.097
6784683,"\"Aila Re (From \"\"Malaal\"\")\"","Vishal Dadlani, Shreyas Puranik, Sanjay Leela Bhansali","\"Aila Re (From \"\"Malaal\"\")\"",0.729,0.907,-4.021,0.0528,0.27,0.0,0.561,130.025
23859729,"\"Akala ko - From \"\"Can't Help Falling in Love\"\"\"",Matteo Guidicelli,"\"Akala ko (From \"\"Can't Help Falling in Love\"\")\"",0.442,0.434,-9.291,0.0289,0.421,5.09e-05,0.101,109.641
11758816,"\"Ankliv - Från \"\"Ankliv\"\"\"",Haakon Pedersen,Disney TV-Klassiker,0.651,0.588,-5.403,0.237,0.66,0.0,0.92,177.122
9474679,"\"Arey Pyaar Kar Le (From \"\"Shubh Mangal Zyada Saavdhan\"\")\"","Ayushmann Khurrana, Ikka, Bappi Lahiri, Tanishk Bagchi","\"Arey Pyaar Kar Le (From \"\"Shubh Mangal Zyada Saavdhan\"\")\"",0.746,0.925,-3.627,0.0694,0.0764,5.64e-05,0.924,131.975
20727161,"\"Arikil - From \"\"Arikil\"\"\"","Amal Antony Agustin, Matadoria","\"Arikil (From \"\"Arikil\"\")\"",0.408,0.277,-15.673,0.0485,0.589,0.000116,0.227,99.417
4273890,"\"Bandeya (feat. Arijit Singh) - From \"\"Dil Juunglee\"\"\"",Shaarib Toshi,"\"Bandeya (From \"\"Dil Juunglee\"\")\"",0.465,0.551,-6.58,0.0362,0.619,6.03e-06,0.415,89.459
19567717,"\"Bang Bang - From \"\"Gauthamante Radham\"\"\"","Ankit Menon, Sayanora Philip, Neeraj Madhav","\"Bang Bang (From \"\"Gauthamante Radham\"\")\"",0.677,0.474,-9.501,0.285,0.361,9.87e-05,0.837,172.076
22707478,"\"Be Alive (Original Song from the Motion Picture \"\"King Richard\"\")\"",Beyoncé,"\"Be Alive (Original Song from the Motion Picture \"\"King Richard\"\")\"",0.673,0.518,-3.983,0.066,0.0415,1.1e-06,0.242,78.933
10196660,"\"Bhankas (From \"\"Baaghi 3\"\")\"","Bappi Lahiri, Dev Negi, Jonita Gandhi, Tanishk Bagchi","\"Bhankas (From \"\"Baaghi 3\"\")\"",0.62,0.966,-3.72,0.334,0.469,1.79e-06,0.783,112.969
