title,album,language_id
Chantaje (feat. Maluma),El Dorado,1.0
Vente Pa' Ca (feat. Maluma),Vente Pa' Ca (feat. Maluma),1.0
Reggaetón Lento (Bailemos),Primera Cita,1.0
Safari,Energía,1.0
Shaky Shaky,Shaky Shaky,0.0
Traicionera,Traicionera,1.0
Cuando Se Pone a Bailar,Cuando Se Pone a Bailar,1.0
Otra vez (feat. J Balvin),Motivan2,1.0
La Bicicleta,El Dorado,1.0
Dile Que Tu Me Quieres,Dile Que Tu Me Quieres,1.0
Andas En Mi Cabeza,Andas En Mi Cabeza,1.0
Desde Esa Noche (feat. Maluma),Latina,1.0
Borro Cassette,"Pretty Boy, Dirty Boy",0.0
Gyal You A Party Animal - Remix,Gyal You A Party Animal (Remix),0.0
Me llamas (feat. Maluma) - Remix,Me Llamas (feat. Maluma) [Remix],1.0
La Bicicleta (feat. Maluma) - Remix,La Bicicleta (feat. Maluma) [Remix],1.0
DUELE EL CORAZON (feat. Wisin),DUELE EL CORAZON (feat. Wisin),1.0
Let Me Love You,Encore,0.0
La Noche No Es para Dormir,La Noche No Es para Dormir - Single,1.0
Vacaciones,Vacaciones,1.0
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),0.0
Carnavalintro,Carnavalintro,1.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",1.0
One Dance,Views,0.0
My Way,My Way,0.0
Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),0.0
La Gozadera (feat. Marc Anthony),Visualízate,1.0
Llamame Mas Temprano,Llamame Mas Temprano / Hicimos un Pacto - Single,1.0
Starboy,Starboy,0.0
Manicomio,Blanco Perla,1.0
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",1.0
Don't Wanna Know,Don't Wanna Know,0.0
Sin Contrato (feat. Don Omar & Wisin) - Remix,Sin Contrato (feat. Don Omar & Wisin) [Remix],1.0
24K Magic,24K Magic,0.0
"\"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's \"\"TROLLS\"\")\"","\"CAN'T STOP THE FEELING! (from DreamWorks Animation's \"\"TROLLS\"\")\"",0.0
Fuego,Mis Planes Son Amarte,1.0
Bobo,Energía,1.0
In the Name of Love,The Martin Garrix Collection,0.0
Tu Ritmo,Tu Ritmo,1.0
I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",0.0
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Des/Amor,1.0
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],No Quiere Enamorarse (Remix) [feat. Daddy Yankee],1.0
Te Quiero Pa´Mi,King Of Kings 10th Anniversary (Remastered),0.0
Sin Contrato (feat. Fifth Harmony),Sin Contrato (feat. Fifth Harmony),1.0
Picky,Picky Back To The Roots,0.0
Work,ANTI (Deluxe),0.0
Noche Loca,Todo Comenzó Bailando,1.0
Don't Let Me Down (feat. Daya),The Chainsmokers- Japan Special Edition,0.0
Hasta el Amanecer,Fénix,1.0
Le Hace Falta un Beso,De Bailadeta,1.0
Cake By The Ocean,DNCE,0.0
Chillax (feat. Ky-Mani Marley),Visionary,0.0
Loquita,Todo Comenzó Bailando,1.0
Te Vas,Te Vas,1.0
Closer,Closer,0.0
Locuras contigo,De Fiesta,1.0
Treat You Better,Illuminate,0.0
Era Tranquila,Era Tranquila,1.0
Baila,Baila,1.0
Nena,Todo Comenzó Bailando,1.0
Deja De Llorar,Sigo Por El Objetivo,1.0
El Perdedor,"Pretty Boy, Dirty Boy",0.0
Traicionera - Remix,Traicionera (Remix),1.0
Yo te propongo,De Fiesta,1.0
El Perdedor (feat. Yandel) - The Remix,El Perdedor (feat. Yandel) [The Remix],1.0
Lo Intentamos,Lo Intentamos,1.0
Hasta la luna,#Tocoparavos,1.0
Comerte a Besos,Comerte a Besos,1.0
La Mordidita (feat. Yotuel),A Quien Quiera Escuchar (Deluxe Edition),1.0
Ginza,Energía,1.0
Call On Me - Ryan Riback Extended Remix,Call On Me (Remixes),0.0
El Perdón,Fénix,1.0
Pasarla Bien,Pasarla Bien,1.0
No Llores,No Llores Mas,1.0
Would I Lie to You - Radio Edit,Would I Lie to You,0.0
I Feel It Coming,Starboy,0.0
Baila Conmigo,Quiero Que Sepas,1.0
Una Cerveza,Una Cerveza,1.0
Me Ama Me Odia,Me Ama Me Odia,1.0
Just Hold On,Just Hold On,0.0
Side To Side,Dangerous Woman,0.0
Bailame Despacio,Revolucionario,1.0
Todo Comenzó Bailando,Todo Comenzó Bailando,1.0
Cheap Thrills Remix (feat. Nicky Jam),Cheap Thrills Remix (feat. Nicky Jam),0.0
Se Pone Loca,Por Eso Canto para Bailar,1.0
Cheap Thrills,This Is Acting,0.0
Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),0.0
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,0.0
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Diles,1.0
Pájaro Cantor,11,1.0
Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Invicto,1.0
Amor y dolor,Amor y dolor,1.0
Si Te Vas,Agapornis - Volando Con Ritmo,1.0
Papi Shampu,Papi Shampu,0.0
Ruleta Rusa,The Beginning,0.0
Dale Tu Amor (feat. El Polaco),Dale Tu Amor (feat. El Polaco),1.0
Me Reclama,Me Reclama,1.0
Márchate ahora,Sin mirar Atrás,1.0
Bronceado,Todo Comenzó Bailando,1.0
Te Vas - Version Cumbia,VOL. 1,1.0
Bailando - Spanish Version,SEX AND LOVE (Deluxe),0.0
Llegaste tú (feat. Reykon),Louder!.,1.0
Corazon De Seda (feat. Ozuna),Los Que Gustan,1.0
Por Fin Te Encontré,Por Fin Te Encontré,1.0
Fuiste,Corazón Valiente,1.0
No Me Arrepiento de Este Amor,20 Grandes Exitos,1.0
