title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo,language_id
"\"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's \"\"TROLLS\"\")\"",Justin Timberlake,"\"CAN'T STOP THE FEELING! (from DreamWorks Animation's \"\"TROLLS\"\")\"",0.666,0.83,-5.715,0.0751,0.0123,0.0,0.702,113.03,0.0
24K Magic,Bruno Mars,24K Magic,0.818,0.803,-4.282,0.0797,0.034,0.0,0.632,106.97,0.0
743,Miranda!,Fuerte,0.849,0.759,-6.232,0.0304,0.0951,1.21E-4,0.948,110.983,1.0
Acá Estoy,El Reja,Acá Estoy,0.731,0.863,-5.331,0.0377,0.125,0.0,0.963,107.992,1.0
Acércate (feat. Nicky Jam) - Remix,De La Ghetto,Acércate (feat. Nicky Jam) [Remix],0.745,0.875,-4.231,0.0444,0.0659,1.5E-6,0.728,88.007,1.0
Adios,Rombai,De Fiesta,0.724,0.654,-8.37,0.0985,0.164,0.0,0.708,139.451,1.0
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,0.638,0.924,-3.887,0.036,0.00205,1.75E-4,0.53,111.995,0.0
Amor y dolor,"Carlos Baute, Alexis y Fido",Amor y dolor,0.771,0.825,-4.009,0.0441,0.305,0.0,0.812,92.009,1.0
Amores Como el Nuestro,Los Charros,corazon de papel,0.614,0.876,-3.632,0.0299,0.385,1.08E-5,0.788,96.326,1.0
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",Andas En Mi Cabeza,0.68,0.954,-1.823,0.119,0.0244,0.0,0.521,104.029,1.0
Andas En Mi Cabeza - Remix,"Chino & Nacho, Daddy Yankee, Don Omar, Wisin",Andas En Mi Cabeza (Remix),0.72,0.933,-3.234,0.0904,0.205,0.0,0.581,104.099,1.0
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal","Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",0.761,0.829,-3.203,0.0681,0.167,0.0,0.813,92.033,1.0
Baila,Agapornis,Baila,0.796,0.838,-5.157,0.0574,0.244,0.0,0.96,106.007,1.0
Baila Conmigo,"Juan Magán, Luciana",Quiero Que Sepas,0.875,0.709,-6.692,0.0923,0.0866,1.71E-5,0.793,99.948,1.0
Bailame Despacio,"Xantos, Dynell",Revolucionario,0.688,0.719,-4.746,0.0555,0.163,0.0,0.605,88.015,1.0
Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",SEX AND LOVE (Deluxe),0.723,0.777,-3.503,0.108,0.0426,3.68E-6,0.961,91.017,0.0
Bobo,J Balvin,Energía,0.729,0.888,-2.864,0.122,0.117,1.55E-5,0.8,177.908,1.0
Borro Cassette,Maluma,"Pretty Boy, Dirty Boy",0.73,0.701,-5.885,0.106,0.132,0.0,0.785,175.95,0.0
Bronceado,Marama,Todo Comenzó Bailando,0.507,0.732,-5.256,0.055,0.206,0.0,0.946,142.568,1.0
Call On Me - Ryan Riback Extended Remix,Starley,Call On Me (Remixes),0.67,0.838,-4.031,0.0362,0.0604,6.11E-4,0.717,104.998,0.0
Carnaval,Maluma,PB.DB. The Mixtape,0.74,0.859,-4.742,0.033,0.0365,1.08E-5,0.782,130.011,0.0
Carnavalintro,Chano,Carnavalintro,0.608,0.859,-5.58,0.185,0.115,0.0,0.8,190.065,1.0
Chantaje (feat. Maluma),Shakira,El Dorado,0.852,0.773,-2.921,0.0776,0.187,3.05E-5,0.907,102.034,1.0
