title,artist,album,language_id,scaled_vectorized_features_str
"#Egoland","Projekt #EGOLAND, Prinz Pi, Benne",#Egoland,-2.0,"4.2285728820661586,3.3992199698157872,-1.3207500616914036,2.4777817168274567,1.049323583874631,1.317860648555352E-5,1.4134111396159839,3.276704384236895,-0.2769906204992498"
"#Elämänpeli (feat. Touko)",Mr. Elämänpeli,#Elämänpeli (feat. Touko),8.0,"4.4237377843153665,3.27850903338767,-2.14566577233325,2.2137557961819083,0.35323764209641045,0.0029677404527544944,2.8730946677313005,3.7434897712994517,1.107962481996999"
"#Käbbel","GAPHALSARNA, Jonas Sjöstedt, Ebba Busch Thor, Jan Björklund, Isabella Lövin, Annie Lööf, Jimmie Åkesson, Ulf Kristersson, Stefan Löfven",#Käbbel,7.0,"3.298286848011604,2.4528462282193466,-3.3593952574177495,4.336118004448049,0.269430279951968,0.0,2.174802259468642,4.29404194952557,0.9694671717473742"
"#RapSinCorte L","Foyone, Sceno, Kase.O, Dollar Selmouni, Ayax y Prok, FERNANDOCOSTA, Spok Sponha, Elio Toffana, Ptazeta, Cráneo, Bejo, Easy-S, Moneo, Las Ninyas del Corro, Sofía Gabanna, ToteKing, Recycled J",RAPSINCORTE. EL ALBUM,-2.0,"3.766682613409701,3.7854949663857633,-1.9332838528652854,2.7722721667782615,0.7030121700546209,0.0,3.3820909412239613,3.189240973646465,-0.2769906204992498"
"#RoastLaMafe",La Mafe Mendez,#RoastLaMafe,14.0,"5.549188720619128,3.8192940285856363,-2.0303490269971287,3.828375849360456,0.20397742273998606,0.0,2.0696377401519763,3.2737052401735864,1.9389343434947484"
"#Roposenpeli",Roponen,#Roposenpeli,-2.0,"5.393056798819762,3.5392446560724036,-2.202356258649569,4.275188945837538,0.7134015124692211,0.0,2.5491879482359705,3.780804703249914,-0.2769906204992498"
"#TIPONADA (feat. João Sousa)",TAY,#TIPONADA (feat. João Sousa),-2.0,"5.666287661968653,2.061742794192246,-2.540286864886356,2.4066978151151934,0.2493442179504074,7.815220125153831E-5,3.1128697717732976,2.8943483899332803,-0.2769906204992498"
"#Ysya2020 Vol. 5 - Silbando","YSY A, CLUB HATS",#Ysya2020 Vol. 5 - Silbando,-2.0,"6.089144950175269,3.1819402842451763,-2.0469413644555634,1.7567878566030737,1.1324383231914337,0.0,2.2589338749219743,3.3658417356998678,-0.2769906204992498"
"#Ysya2020 Vol. 6 - Un Flow de Infarto","YSY A, Bizarrap",#Ysya2020 Vol. 6 - Un Flow de Infarto,-2.0,"5.132836929154153,2.3755912289053516,-1.9252642230937087,4.77277625782338,0.5991187459086178,0.0,0.8917951238053231,3.093896091447808,-0.2769906204992498"
&burn (with Vince Staples),Billie Eilish,&burn (with Vince Staples),-2.0,"5.119825935670873,1.8299777962502606,-2.589510799346379,2.4879365599292087,0.6718441428108199,0.0066914629829748495,1.4470637857973165,2.877783350048729,-0.2769906204992498"
(Slöngumaðurinn),kef LAVÍK,Blautt Heitt Langt Vont Sumar,-2.0,"4.404221294090446,2.2790224797628573,-1.6196886749008694,4.9352537474514095,0.30025199578194894,0.0,2.2252812287406414,2.9956218127221983,-0.2769906204992498"
(When You Gonna) Give It Up To Me - Radio Version,"Sean Paul, Keyshia Cole",Just Like You,-2.0,"3.617056188351976,3.6647840299576457,-0.8464857493378113,2.650414049557239,0.23756962988052704,0.0,2.9446065408666326,3.3629123391729157,-0.2769906204992498"
(não) era amor,GIULIA BE,(não) era amor,-2.0,"3.4739352600358906,2.660469038875709,-1.5757189806360175,2.5996398340484794,1.0874178393948324,0.0,1.8004165707013127,2.6952191736368882,-0.2769906204992498"
+33 7 48 40 97 42,SEB,Crash Test,-2.0,"6.167210911074951,2.2017674804488623,-1.7363881150251934,3.63543383042717,1.6034218459866478,0.0,3.19700138722663,4.533380620531198,-0.2769906204992498"
+351 (call Me),Nenny,Aura,-2.0,"3.382858305652927,2.9646605986745644,-2.2239262973455336,2.98552387191505,2.3445282715614697,0.0,3.1549355794999636,3.5167754043742607,-0.2769906204992498"
+351 (call me),Nenny,+351 (call me),-2.0,"3.382858305652927,2.9646605986745644,-2.2239262973455336,2.98552387191505,2.3445282715614697,0.0,3.1549355794999636,3.5167754043742607,-0.2769906204992498"
00.43,Noah Carter,2nd demo,-2.0,"4.117979437458275,2.3417921667054786,-3.321785959178631,3.19877557705184,0.35670075623461056,0.01042029350020511,3.537734429812626,3.0145233950746753,-0.2769906204992498"
00:26,"JóiPé, Króli",22:40-08:16,-2.0,"5.705320642418494,1.8444631086216348,-3.395068782953384,4.407201906160313,1.277889116995838,0.0,3.49566862208596,4.187711830350842,-0.2769906204992498"
012,"Jan-Rapowanie, Nocny",Plansze,-2.0,"4.7750346083639394,2.414218728562349,-3.8549530695096665,2.6605688926589908,1.3367620573452397,0.21555705181796844,1.6069138551586484,4.185410161651094,-0.2769906204992498"
021,Binz,021,-2.0,"3.6040451948686956,2.5880424770188384,-1.9955051183344157,4.356427690651553,0.2742786397454482,0.0,0.6351936966726593,3.0707747831457928,-0.2769906204992498"
08:16,"JóiPé, Króli",22:40-08:16,-2.0,"4.6579356670144145,2.530101227533342,-2.1354338309005487,4.77277625782338,2.2648766463828673,2.027870842932073E-4,3.4872554605406267,3.1447420454513346,-0.2769906204992498"
1 In a Million,Avelino,NO BULLSHIT,-2.0,"5.373540308594841,3.635813405214898,-1.6990553557437154,2.4168526582169454,0.8934834476556266,5.414466230498733E-5,2.544981367463304,4.032907173408691,-0.2769906204992498"
1 KANS,"CHO, Latifah",SINCE 93,-2.0,"5.165364412862354,2.872920286989195,-2.1152464869927865,2.9144399702027872,0.872704762826426,3.611346816002457E-5,2.01495219010731,3.558344936042439,-0.2769906204992498"
1 Millón De Seguidores,Nino Freestyle,1 Millón De Seguidores,1.0,"5.152353419379073,3.1626265344166775,-1.9791893198336217,2.924594813304539,1.274426002857638,0.0,3.7733029530819566,3.2795640332274907,0.1384953102496249"
1 To 10,TWICE,Twicecoaster:lane1,-2.0,"4.039913476558592,4.002774651956375,-0.9634617284197761,2.3559235996064345,0.41557369658401233,0.0,3.1212829333186307,3.083817572444365,-0.2769906204992498"
1 X 2 (feat. Pietari),"G-Mies, Matti Tamonen",Ja pointti oli,-2.0,"5.666287661968653,2.747380913103953,-3.080367449158406,2.701188265065998,0.5748769469412172,0.0019716829858231234,3.844814826217289,3.2768438793096064,-0.2769906204992498"
1-2,nublu,1-2,-2.0,"5.627254681518811,3.051572472902809,-1.5118384814210435,1.8684911307223444,0.19116390042864567,0.05669865580993957,2.061224578606643,3.417664155212379,-0.2769906204992498"
1/4 Qarn,"Marwan Moussa, R3",Florida,-2.0,"5.217408386795476,2.544586539904716,-3.333953673314816,3.5135757132061474,1.3921718835564414,0.0,2.4945023981913046,3.2772972382959207,-0.2769906204992498"
10 RAGAZZE (con ERNIA),"Rkomi, MACE",TAXI DRIVER,6.0,"4.599386196339652,3.2543668461020467,-1.5809732208311882,1.9598847186381114,0.9038727900702269,0.0,3.4662225566772933,2.8968244274739186,0.8309718614977493"
10 RAGAZZE (feat. Ernia) - MTV Unplugged,Rkomi,TAXI DRIVER (MTV Unplugged),-2.0,"4.8921335497134635,2.0907134189349943,-2.396210067955614,2.823046382287021,2.7635650822836824,0.0,3.3400251334972952,2.89556897181951,-0.2769906204992498"
100 - Prod. By Esko,"O.g, Lesje, Josylvio",100 (Prod. By Esko),-2.0,"4.6189026865645735,3.684097779786145,-2.4053358535577534,4.153330828616515,0.46752040865701394,0.0,3.5293212682672928,3.132710595429924,-0.2769906204992498"
100 Ways,Jackson Wang,100 Ways,-2.0,"5.210902890053836,3.7806665289286387,-1.957895820095297,2.4473171875222013,1.1255120949150335,0.0,2.578634013644637,3.8345451800122152,-0.2769906204992498"
1000 Evra,"Gazda Paja, DJ A.S. One",1000 Evra,-2.0,"5.933013028375903,2.177625293163239,-2.1899120055557426,2.1832912668766524,0.7480326538512222,8.479258436441412E-6,1.6027072743859816,4.537774715321627,-0.2769906204992498"
1000 MILLIGRAM,"STIKSTOF, Brihang",Overlast,-2.0,"4.9441775236465855,3.2447099711877976,-1.7720616405608283,3.6049693011219146,2.0951840536110624,0.0,1.6573928244306477,3.146241617482989,-0.2769906204992498"
1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,No.6 Collaborations Project,0.0,"5.06127646499611,2.8439496622464473,-1.5342381369899305,2.7316527943712536,1.6172743025394483,0.0,2.157975936377975,3.417664155212379,0.0"
1000 kcal.,KęKę,ToTu,-2.0,"4.9181555366800245,3.3992199698157872,-1.7189661606938371,2.2036009530801564,0.6164343165996183,0.0,0.7403582159893248,4.183840842083084,-0.2769906204992498"
1000000mm,Lika-Aki,Hot Dog,-2.0,"4.0073859928503905,3.008116535788687,-1.9938458845885723,3.2495497925605994,0.134368828562164,0.0,2.4187839442833052,3.030460707132022,-0.2769906204992498"
10000ft,ID,INSTANT DOPE 10000ft,-2.0,"5.380045805336482,2.467331540590721,-3.7147478179858933,2.518401089234464,0.5921925176322177,0.04760643893230962,1.5858809512953151,4.183457230633126,-0.2769906204992498"
1001 nótt,kef LAVÍK,Heim eftir 3 mánuði í burtu,18.0,"5.529672230394207,2.3128215419627303,-2.559644591921196,5.006337649163673,0.370553212787411,0.0,3.1549355794999636,3.3867659966066688,2.492915584493248"
100k Cash,"Capital Bra, Samra",CB7,-2.0,"4.5668587126314515,3.4619896567584085,-1.642088330469756,5.707021823184553,1.0701022687038317,0.0,2.5113287212819713,3.0365287427949945,-0.2769906204992498"
10k Hours (feat. Nas),Jhené Aiko,Chilombo,-2.0,"4.313144339707482,1.979659357421126,-2.651732064815509,3.7268274183429373,3.064856012307091,0.003407027335606278,1.3629321703439845,3.1077061036462967,-0.2769906204992498"
11 PM,Maluma,11:11,-2.0,"5.05477096825447,3.4378474694727847,-1.3384485549804008,2.812891539185269,0.7514957679894223,0.0,2.8604749254133006,3.337140624489372,-0.2769906204992498"
110 (Interlude),Istanbul Trip,110,-2.0,"5.523166733652567,2.6121846643044617,-3.2020445905202606,2.396542972013442,1.478749737011444,7.304421424163386E-4,3.4241567489506273,3.141150047329001,-0.2769906204992498"
12 A 12,Mozart La Para,12 A 12,-2.0,"3.5715177111604945,4.350422148869353,-0.9745232867253992,3.422182125290381,1.1532170080206343,0.0,3.504081783631293,3.0895019966573796,-0.2769906204992498"
1200,De Fellas,1200,-2.0,"3.643078175318537,2.515615915161968,-2.4327132103641707,2.9753690288132986,0.19289545749774573,0.0,0.7067055698079919,4.146281793755376,-0.2769906204992498"
12K (feat. Kube),Axel Kala,12K (feat. Kube),-2.0,"5.419078785786323,2.6314984141329605,-1.9142026647880854,1.8583362876205927,1.1670694645734347,3.989337854735387E-4,2.4987089789639714,3.1733036615891184,-0.2769906204992498"
14:08,"Dante, Rase",14:08,-2.0,"4.495298248473408,3.519930906243905,-2.236094011481719,3.7065177321394334,2.157520108098664,0.0,1.0937110008933209,2.9188995227305936,-0.2769906204992498"
15+1,El Greco,15+1,-2.0,"5.171869909603995,2.4238756034765987,-1.9957816572920561,2.6808785788624943,1.34715139975984,3.1516279851110555E-5,2.250520713376641,3.3118571425603207,-0.2769906204992498"
17. Mai er vi så glad i,"Ola Nordmann, RykkinnFella, Jack Dee",17. Mai Er Vi Så Glad I,-2.0,"4.235078378807799,2.863263412074946,-2.4766829046290226,4.336118004448049,0.5263933490064157,0.4188549348121662,2.578634013644637,4.461645279389048,-0.2769906204992498"
17:30 Uhr,"KitschKrieg, Jan Delay, SFR",KitschKrieg,4.0,"5.406067792303043,2.3273068543341044,-2.3381368868510926,3.736982261444689,0.22995077877648684,6.742542853073894E-5,1.2367347471639858,3.487481439104739,0.5539812409984995"
18 tímar straight,"Wonayd, Amos",18 tímar straight,-2.0,"5.757364616351616,2.583214039561714,-1.9493231124084391,3.2089304201535915,0.10908809535330324,0.00822385908594619,1.3713453318893176,2.61682294277274,-0.2769906204992498"
182 - Im Haus des Henkers - Teil 01,Die drei ???,182/Im Haus des Henkers,-2.0,"3.298286848011604,3.2253962213592984,-2.9318660289054153,5.148505452588199,0.050215155003901495,3.233355777269526E-4,1.3587255895713177,4.355768519200634,-0.2769906204992498"
19 Dias y 500 Noches - En Directo,Joaquín Sabina,Nos Sobran Los Motivos,1.0,"3.7211441362182196,4.340765273955104,-1.7933551402991528,5.889808999016085,1.8008193518640536,0.0,2.3220325865119738,3.015604481888193,0.1384953102496249"
19 Días y 500 Noches Después,"Travis Birds, Benjamín Prado",Tributo a Sabina. Ni Tan Joven Ni Tan Viejo,1.0,"5.132836929154153,2.64115528904721,-2.388466977141678,2.995678715016802,1.579180047019247,0.0,2.9488131216392994,3.2718918042283303,0.1384953102496249"
1919,ATYPISK,1919,-2.0,"4.508309241956689,2.708753413446956,-1.4758884169277684,2.38638812891169,0.1108196524224033,0.0,2.292586521103307,2.957469910335464,-0.2769906204992498"
1982 (Als obs gestern war),"Marteria, Casper",1982,-2.0,"3.5454957241939336,3.993117777042125,-1.311347737131624,3.4831111839008924,0.25765569188208765,0.0,2.4734694943279716,2.771418357105823,-0.2769906204992498"
1984,Salmo,Hellvisback,-2.0,"4.573364209373091,3.6889262172432695,-1.2532745560271026,2.9449044995080427,0.7792006810950232,0.0,3.1381092564092974,3.132292110211788,-0.2769906204992498"
1991 - Underground Mix,NEUS,1991,0.0,"5.360529315111561,3.8192940285856363,-1.2690372766126157,2.5894849909467275,0.6164343165996183,0.0044439486986168845,2.814202536913968,4.358558420654874,0.0"
1999 Pt. 5 (Mainpark Baby),Haftbefehl,1999 Pt. 5 (Mainpark Baby),-2.0,"4.065935463525153,3.3364502828731664,-2.3881904381840373,4.153330828616515,1.783503781173053,2.8196088294672645E-5,1.72890469756598,2.349027276933862,-0.2769906204992498"
1:AM,Papillon,Deepak Looper,-2.0,"3.8772760580175856,2.544586539904716,-2.3740869513443683,4.9454085905531615,1.5964956177102476,0.05567705840795867,1.190462358664653,3.5434189632622544,-0.2769906204992498"
1A,Capital Bra,CB7,-2.0,"4.5148147386983295,3.3605924701587897,-1.5090730918446378,2.1122073651643896,0.9731350728342291,4.72488798416163E-4,2.31361942496664,3.415467107817165,-0.2769906204992498"
1mm,showmore,1mm,-2.0,"5.191386399828915,3.2060824715307996,-1.7488323681190194,2.9449044995080427,1.1774588069880352,1.481316232872295E-4,3.096043448682631,3.2433650618587246,-0.2769906204992498"
1ère fois,"Imen Es, Alonzo",Nos vies,5.0,"4.065935463525153,2.87774872444632,-2.3314999518677184,1.9192653462311038,0.6787703710872202,0.0,3.2811330026799626,2.7262568273153103,0.6924765512481245"
2 Gesichter,Luciano,Eiskalt,4.0,"5.744353622868336,2.926033099017567,-2.2529628878977945,3.980698495886734,0.5506351479738164,0.0,1.993919286243977,4.388793977665202,0.5539812409984995"
2 Millionen,"iCrimax, Kerem",2 Millionen,4.0,"5.015737987804629,3.9158627777281305,-1.847003698081425,4.12286629931126,0.6891597135018205,0.0,0.6688463428539924,3.4823549951825723,0.5539812409984995"
2 The Music,"KAYTRANADA, Iman Omari",BUBBA,-2.0,"3.6040451948686956,3.2881659083019197,-1.7753801080525151,2.619949520251983,0.06510654579816194,2.1249225961202574,3.365264618133295,3.689574925696261,-0.2769906204992498"
2 типа людей,Max Korzh,2 типа людей,3.0,"3.2657593643034026,2.7763515378467014,-1.8171374906562423,2.22391063928366,1.35061451389804,0.0045052445427357386,0.7487713775346581,2.9313145842019623,0.41548593074887463"
2% (feat. Frah Quintale),Guè Pequeno,Sinatra,-2.0,"4.905144543196744,2.906719349189068,-1.8763168275913265,4.346272847549801,0.8207580507534243,0.0,2.469262913555305,2.8611485626278226,-0.2769906204992498"
200 COPAS,KAROL G,KG0516,-2.0,"3.350330821944726,3.3992199698157872,-1.451829527613038,2.0918976789608856,2.656208543999479,0.0,3.7228239838099575,3.1820918511699747,-0.2769906204992498"
2002+18,MACAN,2002+18,-2.0,"5.3475183216282804,2.414218728562349,-2.2510271151943106,3.03629808742381,2.7358601691780815,0.0,0.7445647967619914,3.3141239374918907,-0.2769906204992498"
2007,DJEZJA,2007,-2.0,"3.5975396981270555,2.694268101075582,-2.6998498434449694,2.3559235996064345,0.6268236590142187,8.377098696243323E-5,1.3713453318893176,3.470846651683832,-0.2769906204992498"
2008,Farid Bang,ASOZIALER MAROKKANER,4.0,"4.5928806995980125,3.104685284931181,-1.6678064535303299,4.61029876819535,0.1378319427003641,0.0,1.3713453318893176,3.063172301682988,0.5539812409984995"
2010,STIKSTOF,Overlast,-2.0,"5.581716204327329,2.7618662254753272,-2.0356032671922994,4.0822469269042525,1.9670488304976583,0.0,1.543815143568649,4.284137799363018,-0.2769906204992498"
2017 Snak (feat. Moon Afflick) - Special,Os,2017 Snak (feat. Moon Afflick) [Special],-2.0,"5.471122759719445,2.7232387258183297,-2.6066562147200947,2.630104363353735,1.3990981118328416,0.0,1.7709705052926463,3.6647448027535234,-0.2769906204992498"
2018 Nada Nuevo,Rocca,2018 Nada Nuevo,1.0,"4.046418973300232,2.8536065371606965,-2.416397411863376,3.808066163156952,2.2683397605210676,9.654095448719438E-5,2.0570179978339764,3.012465842752173,0.1384953102496249"
2019,"Martin Jensen, Georgia Ku",2019,-2.0,"5.698815145676854,3.693754654700394,-1.8124363283763527,2.7316527943712536,0.4121105824458122,2.6561532451503222E-5,3.066597383273965,4.012994251779052,-0.2769906204992498"
2030,LFERDA,2030,-2.0,"4.8140675888137805,1.583727485936901,-2.4932752420874573,2.3457687565046825,2.1332783091312635,0.0,0.6141607928093262,3.243609178235971,-0.2769906204992498"
20539,Sa4,Neue deutsche Quelle,4.0,"4.443254274540287,2.457674665676471,-1.9988235858261025,3.432336968392133,0.11151227525004331,0.0,0.6015410504913263,3.2532343382530993,0.5539812409984995"
209 - Kreaturen der Nacht - Teil 23,Die drei ???,209/Kreaturen der Nacht,4.0,"4.53433122892325,1.936203420307004,-4.624284449665757,4.44782127856732,0.268737657124328,0.0,1.5143690781599826,4.446823927913397,0.5539812409984995"
210 - und die schweigende Grotte - Teil 22,Die drei ???,210/und die schweigende Grotte,4.0,"3.812221090601183,1.3374771756235415,-4.358807050330801,4.457976121669072,0.22025405918952656,1.4966401939020083E-4,0.7024989890353254,3.9472223249953404,0.5539812409984995"
212,"Tepki, Motive, UZI, Aksan, Emre Bakış",212,-2.0,"3.968353012400549,3.935176527556629,-1.4186448526961686,3.0566077736273134,0.06302867731524188,0.0,2.2252812287406414,3.1540184677866834,-0.2769906204992498"
21334,Dan I,21334,-2.0,"4.1895399016163175,1.9651740450497521,-3.2523746808108456,4.803240787128636,2.157520108098664,0.0,2.6417327252346365,4.524731926023055,-0.2769906204992498"
21334 - Bizarrap Remix,Bizarrap,21334 (Bizarrap Remix),-2.0,"5.373540308594841,2.573557164647464,-2.811018504416482,3.015988401220306,1.4475817097676429,0.010931092201195555,1.7036652129299805,4.529823496177042,-0.2769906204992498"
2222 (Interlude),Hugo TSR,Une vie et quelques,5.0,"4.5668587126314515,2.592870914475963,-2.9302067951595716,3.6862080459359294,2.999056843681289,5.92526493148918E-4,2.8604749254133006,3.313914694882823,0.6924765512481245"
23 de Maio,Wet Bed Gang,23 de Maio,-2.0,"3.9878695026254696,2.6508121639614597,-1.8655318082433439,3.919769437276223,0.42942615313681276,0.0,0.3335818552724628,3.2790758004729987,-0.2769906204992498"
247,Laruzo,Contenance,5.0,"3.486946253519171,2.4528462282193466,-2.2507505762366695,3.7572919476481927,1.3887087694182414,0.0,1.3040400395266518,3.4459119074365607,0.6924765512481245"
25,Fieh,25,-2.0,"5.3475183216282804,1.7961787340503876,-3.34501523162044,2.98552387191505,1.8250611508314543,1.0624612980601287,1.1862557778919862,2.7034145091587187,-0.2769906204992498"
27 Mensajes,Shadow Blow,2da Parte,1.0,"5.334507328145,2.7570377880182027,-1.4313656447476353,3.1276916753395767,0.6476023438434193,0.0,2.2379009710586413,3.282737546131689,0.1384953102496249"
"27 Mensajes, V2","Shadow Blow, Lapiz Conciente","27 Mensajes, V2",1.0,"4.931166530163305,2.9550037237603153,-1.7355584981522718,3.4018724390868775,0.4952253217626147,0.0,2.4818826558733047,3.2661376324789604,0.1384953102496249"
280,"Sitek, Voskovy",280,-2.0,"3.005539494637793,3.809637153671387,-1.6683595314456112,5.077421550875936,0.7826637952332233,0.0,2.431403686601305,2.8516977714515837,-0.2769906204992498"
2Blaui,Stereo Luchs,OFF SEASON,-2.0,"4.853100569263622,2.6990965385327064,-1.8912499313039177,3.5440402425114033,0.8380736214444249,0.005976344801588224,2.767930148414635,2.240465236595742,-0.2769906204992498"
"2K30 (prod. Hatti Vatti, cuty: DJ Panda)","Pezet, Taco Hemingway",Muzyka współczesna,9.0,"4.3716938103822445,3.8675784031568834,-2.115523025950427,3.1378465184413287,0.9281145890376277,0.0,1.8382757976553123,3.6324168196525157,1.246457792246624"
"3,14","Gson, Slow J, Sam The Kid","3,14",-2.0,"4.612397189822933,2.4383609158479724,-2.594488500583909,3.929924280377975,2.081331597058262,0.0,1.6615994052033143,3.0185687521833233,-0.2769906204992498"
3-0,Jantje,3-0,-2.0,"5.744353622868336,3.119170597302555,-2.2277978427525014,1.7770975428065776,0.7030121700546209,0.0021555705181796844,2.2210746479679746,3.1388483786292527,-0.2769906204992498"
30 Jahre,Julien Bam,30 Jahre,4.0,"5.815914087026378,3.4957887189582815,-1.6683595314456112,2.8839754408975313,0.5575613762502166,0.0,3.1170763525459644,3.313042850678373,0.5539812409984995"
30 KMH,Kali,30 KMH,-2.0,"5.314990837920079,2.660469038875709,-2.0643633187869197,2.22391063928366,0.6441392297052192,0.0,1.9266139938813114,4.604941592832459,-0.2769906204992498"
30 km/h,"Kali, Flvwlxss",V8T,-2.0,"5.334507328145,2.6701259137899584,-2.0748717991772616,2.152826737571397,0.6095080883232181,0.0,1.9644732208353108,4.604767223991568,-0.2769906204992498"
300,Wet Bed Gang,Ngana Zambi,-2.0,"5.503650243427646,3.486131844044032,-1.0638453700433061,3.0566077736273134,1.108196524224033,1.0931092201195555E-4,1.6447730821126478,4.358070187900382,-0.2769906204992498"
32.22,Childish Gambino,3.15.20,-2.0,"4.6058916930812925,3.0708862227313083,-2.9465225936603656,3.03629808742381,2.0951840536110624,2.145354544159875,2.0486048362886433,3.7675875451104512,-0.2769906204992498"
365 Tage,"Samra, Capital Bra",Jibrail & Iblis,-2.0,"3.428396782844409,4.036573714156248,-1.3406608666415254,4.701692356111117,1.5029915359788446,0.0,2.0864640632426426,3.0485601928164052,-0.2769906204992498"
38F,RPG,38F,-2.0,"5.028748981287909,3.8675784031568834,-1.9172445933221318,2.2543751685889157,1.1497538938824343,0.0,2.469262913555305,3.2422491012770287,-0.2769906204992498"
3:33,Berechet,3:33,-2.0,"5.288968850953518,3.5537299684437778,-2.5632395983705236,2.000504091045119,1.1809219211262352,0.0011595130512483136,3.394710683541961,3.4194427173894573,-0.2769906204992498"
3AMALTAHA AGMAD,Abyusif,3AMALTAHA AGMAD,-2.0,"3.916309038467427,3.8965490278996318,-1.9357727034840506,2.98552387191505,2.0051430860178594,0.0,2.788963052277968,4.080474993203486,-0.2769906204992498"
3STYLE,Gilli,3STYLE,-2.0,"3.942331025433988,2.6170131017615867,-1.804969776520057,4.346272847549801,1.2709628887194377,0.0,3.5755936567666255,3.435938009737652,-0.2769906204992498"
3XNO,Farid Bang,3XNO,-2.0,"5.0222434845462685,3.872406840614008,-1.344255873090853,4.681382669907613,0.10216186707690303,0.0,2.2336943902859745,3.822025497236313,-0.2769906204992498"
3azama,Abyusif,3azama,14.0,"5.197891896570556,2.64115528904721,-2.7615180309988188,4.437666435465569,0.8380736214444249,5.10287902289456E-4,2.5155353020546376,4.0482167576388335,1.9389343434947484"
3azra2eel,Abyusif,Wa7ed Wa7ed,-2.0,"4.24808937229108,3.466818094215533,-2.6984671486567664,3.4729563407991404,0.7030121700546209,1.5426120769911484E-4,3.4157435874052946,3.243783547076861,-0.2769906204992498"
3lash YA Dunia,L7or,3lash YA Dunia,-2.0,"5.080792955221031,2.766694662932452,-1.9885916443934013,2.142671894469645,0.1915102118424657,0.0,1.7667639245199798,2.9650026442619124,-0.2769906204992498"
"3on Sorry, Pt. 2",Raste,"3on Sorry, Pt. 2",-2.0,"4.104968443974994,1.9603456075926275,-2.6417766623404484,3.5135757132061474,1.9185652325628573,0.0,0.6898792467173255,2.79049430829919,-0.2769906204992498"
4,VaVa,4,-2.0,"5.165364412862354,3.099856847474056,-1.747173134373176,2.3457687565046825,0.5506351479738164,0.0,0.8833819622599899,3.2414818783771127,-0.2769906204992498"
4 Am,Trueno,4 Am,-2.0,"5.230419380278756,2.848778099703572,-2.3572180749282925,2.6808785788624943,0.5887294034940176,0.0,1.9055810900179782,4.32249894435882,-0.2769906204992498"
4 min,Mr. Pimp-Lotion,Lotions Thirteen,-2.0,"5.3475183216282804,3.2978227832161693,-2.2383063231428437,3.0464529305255614,0.2614651174341078,0.0,2.393544459647306,3.209049273971571,-0.2769906204992498"
40 Fotos,"El Yainis, Jeyson",40 Fotos,-2.0,"3.6756056590267376,2.303164667048481,-2.2916783419674758,5.3414474715214855,2.431106125016472,5.5166259706968225E-6,2.33885890960264,2.907391179231853,-0.2769906204992498"
40%,Aya Nakamura,NAKAMURA (Deluxe Edition),-2.0,"5.471122759719445,3.3461071577874155,-2.0284132542936444,2.0817428358591337,1.3713931987272407,2.0380868169518817E-5,2.8520617638679675,3.209119021507927,-0.2769906204992498"
419,"Quanium, Hyga, DoubleZ",419,-2.0,"5.458111766236165,3.2302246588164234,-1.7162007711174314,2.162981580673149,1.1393645514678339,0.0,2.772136729187302,4.359779002541105,-0.2769906204992498"
42 (Remix),"SVM, Snow Boyz",42 (Remix),-2.0,"4.853100569263622,3.268852158473421,-1.7474496733308167,3.03629808742381,0.22475610756918668,0.0,1.897167928472645,4.185410161651094,-0.2769906204992498"
44 BLOCKS,"Gringo, Sa4, Brudi030",44 BLOCKS,-2.0,"5.3475183216282804,4.374564336154977,-1.163122855836274,2.802736696083517,1.0666391545656317,4.173225387091948E-4,2.8730946677313005,3.2757279187279105,-0.2769906204992498"
44 Stiche (feat. 18 Karat),Play69,44 Stiche (feat. 18 Karat),-2.0,"4.326155333190763,2.87774872444632,-1.625772531968962,3.899459751072719,0.1852766063937055,0.0,1.4092045588433173,3.2054224020810587,-0.2769906204992498"
44/876 (with Shaggy feat. Morgan Heritage & Aidonia),Sting,44/876 (Deluxe),-2.0,"4.313144339707482,2.824635912417948,-2.669430558104506,2.518401089234464,0.14995284218406446,0.0011390811032086958,3.087630287137298,3.660385581731273,-0.2769906204992498"
4GETU,Izi,Pizzicato,-2.0,"3.324308834978165,3.9689755897565018,-1.758234692678799,4.518905180279583,0.7792006810950232,0.0,0.5047896927199942,3.109868277273333,-0.2769906204992498"
