title,artist,album,language_id,scaled_vectorized_features_str
!,O.S.T.R.,W drodze po szczęście,9.0,"3.6495836720601775,3.853093090785509,-1.9534711967730478,3.2495497925605994,1.0631760404274315,0.0,0.5889213081733267,4.9115168888852745,1.246457792246624"
"#24","ProfJam, benji price",SYSTEM,-2.0,"4.8921335497134635,3.0805430976455574,-2.3494749841143565,1.6653942686873071,1.8562291780752553,3.590914867962839E-5,1.9434403169719778,6.139422266432727,-0.2769906204992498"
"#99",JVG,Mist sä tuut EP,8.0,"5.3475183216282804,3.0950284100169316,-1.86857373677739,2.4777817168274567,0.3844056693402114,0.0034581072057053228,0.462723884993328,5.437308691705011,1.107962481996999"
"#B3",RK,#B3,-2.0,"4.827078582297061,3.355764032701665,-1.8116067115034309,4.0517823975989975,1.7350201832382515,0.003514295062814272,0.9548938353953225,5.407247503535574,-0.2769906204992498"
"#B5",RK,#B5,-2.0,"5.145847922637434,3.133655909673929,-2.2076104988447396,4.0822469269042525,0.8830941052410263,0.0,0.9296543507593227,5.232111439745648,-0.2769906204992498"
"#B7",RK,#B7,-2.0,"4.6969686474642565,2.4190471660194737,-2.687682129308784,2.863665754694028,0.25765569188208765,0.0,1.16942945480132,5.060706869150768,-0.2769906204992498"
"#BrooklynBloodPop! - Roku Remix","Rojuu, SyKo",#BrooklynBloodPop! (Roku Remix),-2.0,"4.274111359257641,3.645470280129147,-1.419751008526731,2.7722721667782615,0.06233605448760185,4.832155711369624E-5,1.9350271554266445,4.883652748111052,-0.2769906204992498"
"#DBAP","Harvinth Skin, Kidd Santhe",#DBAP,-2.0,"5.334507328145,2.462503103133596,-2.676620571003161,3.7166725752411853,0.100776621421623,0.0,2.170595678695975,4.872981375048583,-0.2769906204992498"
"#Summerbody","DJ Muscleboy, Sverrir Bergmann",#Summerbody,-2.0,"2.693275651039061,4.683584333410957,-0.8168960808702694,3.929924280377975,0.13921718835564414,0.0,0.9128280276686562,5.580709626452957,-0.2769906204992498"
"#VIKINGCLAP","Bodybangers, DJ Muscleboy",#VIKINGCLAP,-2.0,"3.1421549262122377,4.809123707296199,-0.6883054655674002,4.386892219956809,0.015272333349462453,0.004750427919211153,0.7866306044886576,4.462796113738922,-0.2769906204992498"
"#Ysya2020 Vol. 4 - Pasa Que Yo","YSY A, Yesan 雪山",#Ysya2020 Vol. 4 - Pasa Que Yo,-2.0,"4.3977157973488055,2.993631223417313,-1.5270481240912754,5.514079804251267,0.8969465617938267,0.0,1.8677218630639787,4.630155327225155,-0.2769906204992498"
(It Mustve Been Ol) Santa Claus,"Harry Connick, Jr.",When My Heart Finds Christmas,0.0,"3.7731881101513416,2.3949049787338503,-2.942374509295757,1.9598847186381114,2.0467004556762607,0.0,3.205414548771963,6.375831540911403,0.0"
