title,artist,album,language_id,scaled_vectorized_features_str
"#25",Dolu Kadehi Ters Tut,#25,-2.0,"4.8661115627469025,2.8439496622464473,-3.0693058908527826,1.3201296032277434,0.46405729451881383,2.610181362061182E-4,2.6964182752793024,4.881490574484015,-0.2769906204992498"
"#Glaiter","VKL, Roony",#Glaiter,-2.0,"4.879122556230183,3.67926934232902,-1.9219457556020219,1.5435361514662846,1.9185652325628573,0.0,1.678425728293981,4.8136959691459795,-0.2769906204992498"
"#PTD",Dadju,Gentleman 2.0,-2.0,"5.282463354211878,2.2838509172199823,-2.7136767913269986,0.6864673936784265,2.053626683952661,0.0,1.4891295935239828,4.322708186967888,-0.2769906204992498"
"#Quote",Brihang,CASCO,-2.0,"5.288968850953518,1.7478943594791407,-3.5814560404031344,1.0967230549892022,3.1064133819654924,0.0011441890902186003,2.61228665982597,3.1425798718242985,-0.2769906204992498"
"#Sádico",Rawayana,#Sádico,1.0,"5.236924877020397,3.0032880983315624,-3.0148277161975887,1.431832877347014,0.9488932738668283,0.004280493114299942,3.011911833229299,4.2548089603253185,0.1384953102496249"
"#Wiehnachtshit",Galaxus Xmas-Singers,#Wiehnachtshit,4.0,"4.8400895757803415,2.4190471660194737,-1.9844435600287926,0.8347281029640039,0.5229302348682155,0.0,1.5522283051139822,2.8558826236329438,0.5539812409984995"
$cuze,Abi,$cuze,-2.0,"5.672793158710293,2.7763515378467014,-2.463409034662275,0.3909614594174471,1.0216186707690302,5.465546100597777E-4,2.3556852326933067,4.1839454633876185,-0.2769906204992498"
(L)over,Popo J,Poportfolio,-2.0,"5.549188720619128,3.157798096959553,-2.0306255659547694,1.3912135049400065,1.2605735463048375,0.0,2.9361933793212995,4.254529970179894,-0.2769906204992498"
(Lover) You Dont Treat Me No Good - triple j Like A Version,Chet Faker,(Lover) You Dont Treat Me No Good [triple j Like A Version],0.0,"4.560353215889811,2.100370293849244,-1.9371553982722536,0.38994597510727186,1.0597129262892315,0.0,3.5713870759939588,3.8151553649052463,0.0"
(Nothing But) Flowers - Live,David Byrne,"Live from Austin, TX: David Byrne",-2.0,"4.781540105105579,3.104685284931181,-3.3845603025630426,1.8583362876205927,1.1774588069880352,2.6510452581404176E-5,1.8593087015186454,3.9422005023777076,-0.2769906204992498"
(Sittin On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),-2.0,"5.002726994321348,1.7720365467647643,-3.1044263384731363,0.3168311047746584,2.368770070528871,8.274938956045234E-5,2.250520713376641,3.6136547323727504,-0.2769906204992498"
(What A) Wonderful World - Mono,Sam Cooke,The Wonderful World Of Sam Cooke,0.0,"4.4627707647652075,3.2447099711877976,-1.527324663048916,0.3280014321865855,2.424179896740072,0.0,3.605039722175292,4.483022899282164,0.0"
(What A) Wonderful World - Remastered,Sam Cooke,The Wonderful World Of Sam Cooke (Remastered),0.0,"3.408880292619488,2.6218415392187113,-2.7346937521076824,0.40314727113954935,2.5419257774388755,0.0,3.6891713376286246,4.467015839688461,0.0"
(bé),Ngọt,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),-2.0,"4.130990430941555,2.8053221625894493,-2.606932753677735,0.2772272166778261,2.0363111132616605,0.015323961029713395,3.0792171255919647,3.6653376568125493,-0.2769906204992498"
+ 33,Wejdene,16,-2.0,"5.178375406345634,2.515615915161968,-1.8127128673339932,0.45696793957883425,1.0978071818094326,0.0,1.611120435931315,3.662652376662843,-0.2769906204992498"
+100500,"Basta, Erika Lundmoen, Moscow Gospel Team",40,-2.0,"5.028748981287909,2.317649979419855,-2.8074234979671546,0.6042131645542363,0.8623154204118256,8.377098696243323E-6,2.6753853714159694,5.022415471691321,-0.2769906204992498"
02:46,Mathea,M,-2.0,"4.6449246735311345,2.380419666362476,-1.3998402035766093,1.8989556600276,2.3895487553580708,0.0,2.5113287212819713,5.153157228590651,-0.2769906204992498"
05,kristoaf,05,-2.0,"4.078946457008433,3.085371535102682,-1.696013427209669,0.5392221687030244,1.4856759652878442,0.0022066503882787287,1.9139942515633115,4.527626448781828,-0.2769906204992498"
05:05,"Bedoes, Kubi Producent",05:05,-2.0,"3.792704600376262,2.7618662254753272,-2.2587702060082466,0.737241609187186,0.9662088445578288,0.0,3.062390802501298,4.88961616246949,-0.2769906204992498"
06 Patria,Rubén Blades & Seis del Solar,"Todos Vuelven Live, Vol. 2.",1.0,"4.072440960266793,3.0129449732458116,-2.30329297818838,0.4762621414721628,2.375696298805271,0.0010726772720799378,2.544981367463304,3.2421444799724948,0.1384953102496249"
06:00 AM,C.R.O,06:00 AM,-2.0,"4.846595072521982,2.592870914475963,-2.546647260912089,0.31276916753395767,0.21990774777570654,0.008172779215847146,2.0864640632426426,4.603755884714406,-0.2769906204992498"
1 2 3 I Love You (feat. Jackie Cruz),"Kill Nils, Paul Couture",1 2 3 I Love You (feat. Jackie Cruz),-2.0,"4.417232287573726,3.27850903338767,-2.111928019501099,0.3320633694272862,2.35838072811427,6.231744152083448E-5,1.6237401782493148,3.8712323841354737,-0.2769906204992498"
1 2 3 Viva lAlgérie,"Mahfoud, Sonia",Obsession Live - Soirée Raï By DJ Zahir,5.0,"3.096616449020756,4.220054337526986,-2.6014019745249235,1.2388908584137284,1.8700816346280558,0.0,3.175968483363297,3.802252070679385,0.6924765512481245"
1 Dari 1000,Malebbi,1 Dari 1000,-2.0,"3.974858509142189,2.6459837265043347,-2.017075157030381,0.9433849241527489,1.9012496618718566,0.0,3.3400251334972952,2.85682421537375,-0.2769906204992498"
1 Keer Voor Altijd,Mathias Vergels,1 Keer Voor Altijd,-2.0,"4.144001424424836,2.4721599780478454,-2.771196894516239,0.7829384031450694,0.5644876045266168,0.0,2.2547272941493075,3.312938229373839,-0.2769906204992498"
1 Night,"Mura Masa, Charli XCX",1 Night,0.0,"5.627254681518811,2.829464349875073,-1.6985022778284342,0.5239899040503966,1.0181555566308302,3.391703374576565E-5,2.448230009691972,3.941921512232284,0.0"
1 Op Een Miljoen,"Metejoor, Babet",1 Op Een Miljoen,8.0,"4.339166326674043,2.1679684182489893,-2.036156345107581,0.33917175959851253,2.6735241146904793,0.0,1.7962099899286461,3.2780993349640144,1.107962481996999"
1 million de gourmandises (feat. Louka),Latelier de Roxane,1 million de gourmandises (feat. Louka),5.0,"5.698815145676854,1.9941446697925003,-2.296932582162646,0.7453654836685875,1.0389342414600309,0.0,2.9656394447299657,4.18704922875546,0.6924765512481245"
1 natt,Isah,sukkerspinn & hodepine (del 1),-2.0,"5.132836929154153,2.066571231649371,-2.8422674066298677,0.34729563407991404,1.942807031530258,0.0010011654539412752,1.9855061246986438,3.97637679519215,-0.2769906204992498"
1%,Stamp,1%,-2.0,"4.0854519537500735,2.7570377880182027,-2.0933999093391806,0.35541950856131554,1.9982168577414592,1.5528280510109576E-4,2.2000417441046416,4.04846087401608,-0.2769906204992498"
1+1 (feat. Heviteemu),s:su,1+1 (feat. Heviteemu),-2.0,"5.093803948704312,2.906719349189068,-1.9194569049832566,0.5199279668096959,0.9107990183466271,0.010062734409511796,2.0780509016973094,4.015156425406088,-0.2769906204992498"
1+1=Dos Enamorados,Izan Llunas,Luis Miguel La Serie (Soundtrack),1.0,"5.575210707585689,2.9984596608744374,-2.5875750266428943,0.48946343750444027,0.06856965993636205,0.0,2.2210746479679746,4.3955246149235565,0.1384953102496249"
"1,2,3","Amel Bent, Hatik","1,2,3",-2.0,"4.6969686474642565,2.399733416190975,-2.1511965514860614,0.6417860840307184,2.656208543999479,0.0,2.8773012485039673,5.154133694099635,-0.2769906204992498"
1.00 Am - Remix,"Harry Nach, Shita, Shielo, Mati Drugs",1.00 Am (Remix),-2.0,"4.833584079038701,3.4475043443870343,-1.6990553557437154,0.6570183486833461,1.3194464866542392,1.8031194144962762E-4,1.9350271554266445,3.4844474212732526,-0.2769906204992498"
10 000 timmar,Molly Sandén,DOM SKA VETA,7.0,"5.145847922637434,2.8680918495320706,-1.8163078737833207,1.117032741192706,1.6692210146124495,0.0,1.993919286243977,4.529997865017932,0.9694671717473742"
