title,artist,album,language_id,scaled_vectorized_features_str
"#TPM",Joé Dwèt Filé,#TPM,-2.0,"4.1374959276831955,2.100370293849244,-3.700367792188583,9.576017044952016,0.4086474683076121,0.0,2.250520713376641,5.580674752684779,-0.2769906204992498"
(Intro) Im so Grateful (feat. Sizzla),DJ Khaled,Grateful,-2.0,"2.3094513432822867,4.195912150241362,-1.7861651274004975,7.128699857429814,1.579180047019247,0.0,1.3208663626173183,5.649027338313663,-0.2769906204992498"
0 II (słowa na wiatr),Kartky,0 II (słowa na wiatr),-2.0,"2.556660219464616,2.578385602104589,-3.538315963011204,8.550377891675076,0.6441392297052192,0.0,2.107496967105976,2.735254259505235,-0.2769906204992498"
051 - Tatort Kletterpark - Teil 02,Die drei ??? Kids,051/Tatort Kletterpark,4.0,"4.6319136800478535,4.157284650584365,-2.3986989185743792,9.179978163983693,0.9454301597286282,0.0,2.0990838055606424,3.004444876071233,0.5539812409984995"
140503 at Dawn,Agust D,Agust D,-2.0,"4.9181555366800245,4.3262799615837295,-2.6531147596037115,8.875332870931137,0.7341801972984218,0.0,1.3040400395266518,3.1658755489672044,-0.2769906204992498"
196 - Geheimnis des Bauchredners - Teil 06,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.078946457008433,2.0086299821638742,-3.919663185597562,9.2205975363907,1.0008399859398296,0.0,2.2799667787853073,3.3057193593609924,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 07,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.4627707647652075,1.9072327955642558,-3.6599931043730587,9.535397672545008,0.7168646266074212,0.0,2.8730946677313005,2.875830419030761,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 08,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.3196498364491225,2.1196840436777427,-3.4456754122016107,9.403384712222234,1.274426002857638,0.0,2.8730946677313005,5.190297791700223,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 09,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.560353215889811,2.0858849814778697,-3.977459827744443,9.301836281204716,0.5991187459086178,0.0,3.0792171255919647,4.280197063558903,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 10,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.2155618885828785,2.346620604162603,-3.14950218856855,9.068274889864423,1.374856312865441,0.0,3.0034986716839653,3.30767229037896,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 11,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.3586828168989635,1.825149358793136,-3.9180039518517185,9.48462345703625,0.806905594200624,0.0,2.6291129829166366,2.969780350502299,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 12,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.391210300607165,2.481816852962095,-3.700367792188583,8.865178027829385,0.6614548003962196,0.0,1.72890469756598,4.074093093626911,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 13,Die drei ???,196/Geheimnis des Bauchredners,4.0,"3.7992100971179026,2.578385602104589,-3.231081181072521,9.65725578976603,1.8250611508314543,0.0,2.469262913555305,2.078406835872566,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 14,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.039913476558592,2.1245124811348672,-4.042723021747619,9.626791260460774,0.606044974185018,0.0,3.1002500294552977,2.537241003790539,0.5539812409984995"
196 - Geheimnis des Bauchredners - Teil 15,Die drei ???,196/Geheimnis des Bauchredners,4.0,"4.0854519537500735,2.1051987313063685,-3.744614025411076,9.362765339815226,0.8761678769646261,0.0,2.3430654903753068,3.2774367333686327,0.5539812409984995"
1969 (Intro),Samey,Mama Neviem Kedy Pridem Domov,-2.0,"3.506462743744092,2.8004937251323248,-3.77530984970918,9.27137175189946,2.7081552560724806,0.0,1.4260308819339838,2.843467562161575,-0.2769906204992498"
