title,artist,album,language_id,scaled_vectorized_features_str
"#AiChoAi","Flo D, Giang Nguyễn",#AiChoAi,18.0,"4.7490126213973785,1.5257862364514045,-2.9401621976346326,0.43462728475498014,3.1756756647294946,0.0017520395443972314,2.999292090911299,4.113430704131698,2.492915584493248"
(Jej) Sloboda,Billy Barman,Dýchajúce Obrazy,18.0,"3.7276496329598596,1.4099037374804118,-3.770885226386931,0.31378465184413284,3.310737116119298,0.0515906688000351,0.9801333200313221,5.0520233008744455,2.492915584493248"
(sau đây là) DỰ BÁO THỜI TIẾT (cho các vùng vào ngày mai),Ngọt,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),18.0,"1.6654071658599026,0.9512021790535656,-4.225238733790402,0.33003240080693586,2.985204387128489,0.09194376617828037,1.013785966212655,2.6662041985127907,2.492915584493248"
(一個男人) 一個女人 和浴室,"Louis Koo, Kay Tse",(一個男人) 一個女人 和浴室,16.0,"3.4479132730693296,1.6464971728795221,-3.1461837210768637,0.3178465890848336,2.8951634195352858,0.0,1.9644732208353108,3.899236019982409,2.215924963993998"
1 Phút,Andiez,1 Phút,18.0,"2.7323086314889027,1.7382374845648914,-1.6608929795893155,0.2924594813304539,3.3038108878428982,0.006282824022182492,1.7793836668379797,4.734288399004668,2.492915584493248"
1000 Jogos,Sippinpurpp,1000 Jogos,21.0,"4.117979437458275,2.4383609158479724,-2.471981742349133,1.9497298755363595,2.35145449983787,0.014813162328722948,2.0990838055606424,3.2069568478808907,2.9084015152421228"
1064˚C,Jocelyn Chan,童裝高跟鞋,16.0,"2.3484843237321282,1.0284571783675607,-3.138717169220568,0.3462801497697388,3.0787084688598916,0.0,0.3987838572487954,4.126264250821202,2.215924963993998"
12 Horas (Ao Vivo) (feat. Marília Mendonça) - Acústico,Dilsinho,12 Horas (feat. Marília Mendonça) [Acústico],21.0,"3.968353012400549,1.825149358793136,-1.5074138580987944,0.34729563407991404,2.829364250909484,0.0,1.972886382380644,4.7967473178114695,2.9084015152421228"
12 Hvítir hestar,Bubbi Morthens,Sjálfsmynd,21.0,"3.4934517502608116,2.1631399807918648,-2.897575198157983,0.39705436527849824,1.5895693894338474,1.4864242198821995E-5,1.3082466202993184,3.2685090487150643,2.9084015152421228"
12 Tahun Terindah,Bunga Citra Lestari,12 Tahun Terindah,20.0,"2.1338029312580002,1.168481864624177,-2.922187165387995,0.3462801497697388,3.3419051433630993,5.772025321192046E-6,1.4765098512059829,2.904008423718587,2.769906204992498"
16 號愛人,Joey Yung,喜歡祖兒4 (新曲 + 精選),16.0,"4.6449246735311345,2.2741940423057327,-1.7510446797801442,0.3087072302932569,2.431106125016472,0.0,1.6910454706119806,4.602814292973601,2.215924963993998"
1973時光機,"Byejack, Trickie Bonnie",1973時光機,16.0,"4.026902483075311,2.4093902911052245,-2.1984847132426006,0.33612530666798696,2.368770070528871,5.567705840795867E-6,1.4512703665699833,4.534322212272004,2.215924963993998"
1986 - O Que É Que Vês?,"Márcia, Tatanka",1986,21.0,"3.5715177111604945,1.7140952972792678,-2.8809828606995485,0.24473171875222013,1.783503781173053,0.0,1.0264057085306548,3.1765120482614946,2.9084015152421228"
20 Năm Ở Thế Giới,Thịnh Suy,20 Năm Ở Thế Giới,18.0,"3.1876934034037196,0.3495788718958282,-5.580832704144519,0.3777601633851696,3.151433865762094,0.026714772061800354,1.5354019820233158,5.220498474942373,2.492915584493248"
2015新版孤單北半球,歐得洋,因為有你,16.0,"4.020396986333671,2.1534831058776156,-1.9977174299955405,0.9119049105373181,2.0744053687818615,0.0,1.8130363130193126,6.27427912797706,2.215924963993998"
20GB,my little airport,SABINA之淚,25.0,"4.2806168559992805,1.5354431113656541,-3.77530984970918,0.5189124824995207,2.791269995389283,4.474596620676312E-4,2.1790088402413086,4.318558208554706,3.462382756240622"
23. Desember,Daniel Kvammen,23. Desember,20.0,"3.7016276459932986,0.9753443663391891,-3.8745873355021474,0.47423117285181243,3.2587904040462967,0.0034325672706558004,0.9506872546226558,4.246334634658064,2.769906204992498"
24 องศา,MINN,24 องศา,19.0,"3.012044991379433,2.0907134189349943,-2.174978901843151,0.6438170526510687,2.829364250909484,0.0,1.972886382380644,3.1099728985778667,2.631410894742873"
25歲,Dadado Huang,綠色的日子,16.0,"4.501803745215049,1.825149358793136,-2.271767537017354,0.3320633694272862,3.3661469423305,0.0024518337647541433,1.4260308819339838,4.881455700715836,2.215924963993998"
2人3角,两个女生,2人3角,16.0,"4.235078378807799,2.1679684182489893,-1.5358973707357741,0.2944904499508043,2.500368407780474,0.0,1.245147908709319,3.690621138741601,2.215924963993998"
32 Desember,TAMMA,32 Desember,20.0,"2.7323086314889027,0.7001234312830812,-3.284453199897153,0.3828375849360456,3.2137699202496957,0.0030545762319228705,1.3250729433899848,4.104921504696265,2.769906204992498"
365日の紙飛行機/山本彩,NMB48,難波愛～今、思うこと～（通常盤）,16.0,"2.6021986966560977,2.0086299821638742,-1.4103486839669512,0.3158156204644832,2.5453888915770757,0.0,1.6489796628853144,7.105355897427028,2.215924963993998"
4S,Cá Hồi Hoang,Gấp Gap: Có Cần Phải Có Lý Không?,18.0,"3.5780232079021346,0.9415453041393161,-4.799333609852243,0.30769174598308174,3.054466669892491,0.04648268179013064,0.7193253121259918,5.026495702568147,2.492915584493248"
5 a.m.,"吱吱, 高偉勛",聲林之王2-雙人合作PK賽,16.0,"3.8837815547592256,1.424389049851786,-4.08116193685966,0.4813395630230387,2.2406348474154667,0.0,2.0233653516526435,4.881351079411303,2.215924963993998"
50 Vezes - Ao Vivo,"Sorriso Maroto, Dilsinho","Ao Cubo, Ao Vivo, Em Cores",21.0,"3.6495836720601775,3.1384843471310537,-1.7781454976289208,0.2812891539185269,2.8259011367712836,8.223859085946189E-6,2.5113287212819713,5.157795439758325,2.9084015152421228"
5:10a.m.,傻子與白痴,夜长梦少,16.0,"1.8150335909176283,1.7527227969362653,-2.9797072685772354,0.31276916753395767,3.168749436453094,0.008836817527134725,0.3575593656766626,2.5306847353730744,2.215924963993998"
75 Lira - Çıplak Ayaklar Stüdyosu 2013,Büyük Ev Ablukada,Ay Şuram Hâlâ Ağrıyo,14.0,"3.760177116668061,1.9700024825068767,-3.6528030914744036,2.010658934146871,2.7635650822836824,0.0,2.183215421013975,4.226770450710204,1.9389343434947484"
8 Tahun,Adhitia Sofyan,8 Tahun,20.0,"4.0073859928503905,1.279535926138045,-3.8228745504233594,0.2782427009880013,2.9713519305756884,1.0931092201195555E-4,0.816076669897324,3.552242026611289,2.769906204992498"
8-9 Senedir Kendimi Iyi Hissetmiyorum,Feyyaz Yigit,Teşekkür Ettim Ve Yanından Ayrıldım,14.0,"3.4934517502608116,0.8836040546538197,-5.004525516421553,0.6732660976461491,2.659671658137679,0.07100101943767206,0.2814202536913968,4.426911006283758,1.9389343434947484"
:( (Nota De Voz 8),Jão,ANTI-HERÓI,21.0,"3.538990227452293,0.5697556199407143,-4.234364519392541,1.2287360153119766,3.2310854909406963,7.661980514856698E-5,1.3965848165253174,4.121416797044461,2.9084015152421228"
?nieg,Grzegorz Turnau,Ksiezyc W Misce,9.0,"1.8475610746258293,0.9077462419394433,-3.1987261230285737,0.37471371045464413,3.1999174636968952,7.049022073668162E-4,0.8917951238053231,5.6984085940537135,1.246457792246624"
A Dança,Tiago Nacarato,A Dança,21.0,"4.475781758248488,1.8830906082786323,-2.574854234591428,0.32495497925605993,2.5453888915770757,0.006231744152083447,3.3189922296339622,5.163863475421298,2.9084015152421228"
A Fugir de Ser - Acústico,Bárbara Tinoco,A Fugir De Ser,21.0,"4.098462947233354,0.9415453041393161,-3.038886605512319,0.5016492492265425,2.891700305397086,0.0,2.0528114170613097,2.9428578014688807,2.9084015152421228"
A Gente Junto,ANAVITÓRIA,O Tempo É Agora,21.0,"4.957188517129866,1.0043149910819371,-3.9091547052072197,0.3919769437276223,3.0960240395508922,0.02656153245150322,1.808829732246646,4.181050940628844,2.9084015152421228"
A Hora de Lembrar,Ministério da Saúde,A Hora de Lembrar,21.0,"4.6319136800478535,1.5644137361084023,-3.0065315474683714,0.35846596149184107,1.939343917392058,0.0,1.897167928472645,4.183387483096769,2.9084015152421228"
A Miúda Gosta,Carolina Deslandes,Casa,25.0,"3.916309038467427,1.6851246725365197,-2.768708043897474,0.4275188945837538,2.088257825334662,0.0,1.6279467590219814,4.002636742630186,3.462382756240622"
A Música Mais Triste do Ano,"Luiz Lins, Mazili, Moral",A Música Mais Triste do Ano,21.0,"3.382858305652927,1.3229918632521673,-4.875105284245762,0.6143680076559883,2.1332783091312635,0.0037135065562005462,0.40214912186692875,2.878445951644111,2.9084015152421228"
A Nossa Metade,Sara Carreira,Metade,21.0,"3.9553420189172686,2.1245124811348672,-2.376575801963133,3.5237305563078993,2.3826225270816708,0.0,1.6700125667486476,4.255576183225235,2.9084015152421228"
A Palo Seco (feat. Gilvan de Oliveira),Belchior,Belchior Acústico,21.0,"3.9358255286923476,1.7865218591361383,-1.6852284078616866,0.41939502010235236,3.0406142133396905,0.0010267053889907976,2.006539028561977,4.312106561441776,2.9084015152421228"
A Picture Of My Dad And I,"Hver gang vi møtes, Tone Damli",Hver gang vi møtes (Sesong 7),25.0,"4.052924470041872,0.9029178044823185,-3.5065139828825376,0.3879150064869215,3.0198355285104896,0.0,1.8803416053819786,4.431863081365035,3.462382756240622"
A Possibilidade,Jorge Aragão,A Possibilidade,21.0,"4.209056391841238,2.5107874777048433,-4.309306576913137,0.9037810360559166,1.8493029497988551,1.900171167684461,3.3147856488612955,5.99431251704406,2.9084015152421228"
A Vida Nunca Cansa,Tiago Iorc,Reconstrução,21.0,"2.6867701542974207,0.5504418701122156,-3.9027943091814867,0.39806984958867336,3.1722125505912944,7.917379865351921E-6,0.35377344298126256,3.858154721068723,2.9084015152421228"
A Wczora z Wieczora,Trebunie-Tutki,Kolędy Góralskie,9.0,"2.5956931999144577,0.7484078058543282,-2.9794307296195943,0.319877557705184,3.158360094038494,0.0,2.1663890979233087,4.954376749976039,1.246457792246624"
A morte nunca existiu,José Mário Branco,Ser Solidário,21.0,"3.3112978414948846,1.231251551566798,-4.798780531936962,0.7006841740208792,3.161823208176694,1.3434005836048744,1.3503124280259846,3.471613874583748,2.9084015152421228"
A pesar de todo,Beret,Inéditos,21.0,"3.4739352600358906,2.7135818509040806,-2.176361596631354,1.2998199170242397,2.2025405918952656,0.0,0.3525114687494626,4.271652990355293,2.9084015152421228"
