title,artist,album,language_id,scaled_vectorized_features_str
"#9 - Live from High Sierra Music Festival 2014",Moon Hooch,Jam in the Van,-2.0,"3.6300671818352566,3.949661839928003,-1.957342742180016,1.350594132532999,0.1277889116995838,0.05772025321192045,1.9434403169719778,4.5047143830888805,-0.2769906204992498"
"#Biziz - feat. Lil Bege",Reynmen,#Biziz,-2.0,"4.404221294090446,3.568215280815152,-2.506549112054205,1.4622974066522696,0.017280939549618513,1.3842644796841102E-4,1.4386506242519836,4.709074664611973,-0.2769906204992498"
"#Boss Gyal","Jo Cohen, Meital De Razon",#Boss Gyal (feat. Meital De Razon),-2.0,"4.2155618885828785,3.7854949663857633,-1.5323023642864466,0.40314727113954935,0.05783400610794172,6.844702593271984E-6,2.149562774832642,3.4884230308455453,-0.2769906204992498"
"#BringBackTheGroove","Norman Doray, Bottai",#BringBackTheGroove,-2.0,"3.942331025433988,4.562873396982839,-0.7098755042633655,0.9210442693288948,0.002212929934309866,0.003953581945666056,2.0780509016973094,4.393641431441944,-0.2769906204992498"
"#Douxbail",Rohff,#Douxbail,-2.0,"4.2285728820661586,3.6551271550433966,-0.9924983189720369,1.2490457015154803,0.40172124003121196,0.0,1.9897127054713104,2.946101061909435,-0.2769906204992498"
"#DropKickMan","Shao Dow, The Heavytrackerz",#DropKickMan,-2.0,"5.841936073992939,3.500617156415406,-0.699090484915383,0.6458480212714192,0.035323764209641055,0.0,0.9338609315319893,4.882920398979313,-0.2769906204992498"
"#Skakelen","Broederliefde, Poke",Broeders,-2.0,"5.386551302078122,4.08002965127037,-1.5605093379657855,1.6653942686873071,0.1849302949798855,0.2845148764516787,1.7877968283833128,4.2913566693758645,-0.2769906204992498"
"#TAMADA feat. al l bo & Wooshendoo","MiyaGi, Endspiel, Allbo",#tamada,-2.0,"5.080792955221031,3.119170597302555,-2.2153535896586756,0.3879150064869215,0.18631554063516553,0.0036113468160024567,1.2577676510273188,4.009960233947566,-0.2769906204992498"
"#Ysya2020 Vol. 1 - Una de Dos","YSY A, CLUB HATS",#Ysya2020 Vol. 1 - Una de Dos,-2.0,"4.365188313640604,3.891720590442507,-1.1304912588346856,2.2442203254871638,0.8380736214444249,0.0,0.6478134389906592,4.658856438435651,-0.2769906204992498"
"#imissyousobad","Astro Bunny, Yalu",#imissyousobad,-2.0,"4.7880456018472195,3.4475043443870343,-2.1766381355889948,0.5392221687030244,0.6268236590142187,7.661980514856698E-5,1.5185756589326491,3.489992350413555,-0.2769906204992498"
"#ДЕВОЧКА_ЛЮБОВЬ",Jerry Heil,#ОСОБИСТЕ,3.0,"4.885628052971824,3.1819402842451763,-1.4659330144527076,0.3879150064869215,0.9523563880050284,0.0,1.3545190087986512,4.04654281676629,0.41548593074887463"
"#愛",A-Lin,A-LIN同名專輯,-2.0,"4.5408367256648905,3.235053096273548,-1.769572789942063,0.48337053164338917,0.4121105824458122,0.0,1.3503124280259846,4.183073619183168,-0.2769906204992498"
$Efu,"Deliric, Silent Strike",Deliric X Silent Strike,-2.0,"4.957188517129866,3.051572472902809,-1.3572532040999603,0.6773280348868498,0.11566801221588344,0.0,0.7361516352166582,4.322219954213396,-0.2769906204992498"
$Mith & Wesson,"Killa Fonic, 911",III,-2.0,"5.06127646499611,2.974317473588814,-2.3895731329722403,0.41533308286165155,0.12051637200936358,1.9818989598429325E-4,1.6615994052033143,5.405887426576632,-0.2769906204992498"
&Run,Sir Sly,"Dont You Worry, Honey",0.0,"4.9701995106131465,3.1915971591594254,-2.288636413433429,0.5341447471521485,0.07030121700546209,9.143296747728992E-4,2.01495219010731,3.2090144002033925,0.0"
((trance)),THE S.L.P.,THE S.L.P.,-2.0,"3.0901109522791157,3.983460902127876,-1.6155405905362605,0.6245228507577402,0.10701022687038318,3.7748024003193993E-4,1.5269888204779825,3.7007694052813997,-0.2769906204992498"
(All Along The) Watchtower - Radio Edit,"Devlin, Ed Sheeran",Watchtower,-2.0,"3.7992100971179026,4.442162460554722,-0.9335955209945935,1.360748975634751,0.05783400610794172,0.0,2.170595678695975,3.731772185191643,-0.2769906204992498"
(Cant Keep Calling) Misty,Frankie Animal,Misty,-2.0,"3.8512540710510246,3.6985830921575187,-1.4617849300880987,0.7595822640110401,1.108196524224033,0.1042029350020511,2.2547272941493075,3.3834878623979368,-0.2769906204992498"
(I Just) Died In Your Arms,Cutting Crew,Broadcast,0.0,"4.065935463525153,3.5054455938725306,-3.1530971950178777,0.45087503371778315,0.05471720338356163,8.632498046738545E-4,2.132736451741976,4.357302965000466,0.0"
(I Just) Died In Your Arms (Original Radio Edit),Komodo,(I Just) Died In Your Arms (Original Radio Edit),-2.0,"4.54734222240653,3.9013774653567563,-1.5052015464376696,0.28433560684905246,0.18319873791078545,1.1799449992879315E-5,2.2252812287406414,4.184817307592068,-0.2769906204992498"
(Ive Had) The Time Of My Life - Operación Triunfo 2017,"Nerea Rodríguez, Ricky Merino",(Ive Had) The Time Of My Life [Operación Triunfo 2017],1.0,"3.324308834978165,3.7806665289286387,-1.3456385678790557,0.5077421550875937,0.25661675764062764,0.0,1.1273636470746538,3.8688609678993693,0.1384953102496249"
(Ive Had) The Time of My Life - From Dirty Dancing Soundtrack,"Bill Medley, Jennifer Warnes",Platinum & Gold Collection,0.0,"4.5538477191481705,3.7710096540143896,-2.282829095322977,0.5148505452588199,0.30267617567868904,0.01746931557387327,1.619533597476648,3.7906042321079325,0.0"
(This Is Our) House,In Flames,"I, the Mask",-2.0,"3.376352808911287,4.751182457810703,-1.3752282363465977,0.8357435872741791,2.3376020432850695E-4,0.0888789739723377,1.897167928472645,4.6045579813825,-0.2769906204992498"
(You Are All Just) Human Beings,Bombus,Vulture Culture,-2.0,"2.8624185663217077,4.4373340230975975,-1.4739526442242843,0.6377241467900175,6.302867731524188E-4,0.01174837012278027,1.2661808125726521,4.185445035419272,-0.2769906204992498"
(it wouldnt be) christmas without you,Wrabel,(it wouldnt be) christmas without you,0.0,"2.6477371738475792,3.8048087162142625,-1.4255583266371832,0.7016996583310543,0.12917415735486384,0.0,1.278800554890652,2.877434612366949,0.0"
(ogni volta che) ELENA (feat. Blindur),Lelio Morra,ESAGERATO,-2.0,"3.74066062644314,3.5295877811581544,-1.5121150203786842,0.3229240106357096,0.7549588821276224,0.0,2.1453561940599752,4.253274514525486,-0.2769906204992498"
+46,Vinter,+46,-2.0,"4.391210300607165,2.9694890361316895,-1.0773957789676945,0.45087503371778315,0.6926228276400206,0.0,1.2956268779813185,5.266392353864624,-0.2769906204992498"
+5 STAR+,CL,+HWA+,-2.0,"4.905144543196744,2.7280671632754543,-1.4233460149760586,0.5473460431844259,0.28778478488442855,7.3044214241633856E-6,1.1105373239839873,4.116046236745048,-0.2769906204992498"
+HWA+,CL,+HWA+,-2.0,"5.737848126126695,2.9839743485030636,-1.4191979306114497,0.5219589354300462,0.35670075623461056,8.990057137431859E-5,1.2872137164359851,3.872906325008018,-0.2769906204992498"
... Again (feat. Shantel May),dvsn,A Muse In Her Feelings,0.0,"4.443254274540287,2.578385602104589,-1.4664860923679888,0.2955059342609795,0.1915102118424657,2.283270193427296E-4,1.7373178591113134,4.1839454633876185,0.0"
0X1=LOVESONG (I Know I Love You) - Japanese Ver.,"TOMORROW X TOGETHER, Lilas Ikuta",Chaotic Wonderland,0.0,"3.3958692991362076,3.949661839928003,-1.3896082621439079,1.0124378572446617,0.2081331597058262,0.0,2.1032903863333092,3.6731842546526,0.0"
0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,0.0,"3.7992100971179026,4.036573714156248,-1.36195436637985,0.8022326050383979,0.19324176891156575,0.0,2.0359850939706434,3.6608040669494093,0.0"
0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix),TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,0.0,"3.2592538675617626,3.713068404528893,-1.4573603067658496,0.3452646654595637,0.037747944106381125,7.151181813866251E-4,1.7877968283833128,3.6630359881128016,0.0"
"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",TOMORROW X TOGETHER,"0X1=LOVESONG (I Know I Love You) feat. pH-1, Woodie Gochild, Seori",-2.0,"3.968353012400549,3.022601848160061,-1.086245025612193,0.314800136154308,1.2571104321666373,0.0,2.0233653516526435,3.5508122021159907,-0.2769906204992498"
0X1=LOVESONG (I Know I Love you),"TOMORROW X TOGETHER, Seori",The Chaos Chapter: FREEZE,0.0,"3.7992100971179026,4.036573714156248,-1.36195436637985,0.8022326050383979,0.19324176891156575,0.0,2.0359850939706434,3.6608040669494093,0.0"
1,Tuure Boelius,1,-2.0,"4.365188313640604,4.1041718385559935,-1.817414029613883,0.6854519093682514,7.688113386804229E-4,3.841206231448158E-4,1.6447730821126478,3.487899924322875,-0.2769906204992498"
1 INSTAGRAMM,Cro,trip,-2.0,"4.8661115627469025,3.920691215185255,-1.9222222945596623,0.4082246926904253,0.25384626633006757,0.05312306490300644,1.4176177203886504,4.220841910119944,-0.2769906204992498"
1 Team - Tegen Corona,"Outsiders, De Kraaien",1 Team (Tegen Corona),-2.0,"2.3484843237321282,3.5778721557294015,-1.386842872567502,1.1678069567014653,0.4605941803806137,0.0,0.5174094350379941,2.8871295199204337,-0.2769906204992498"
1 tapa rakastaa,Olli Herman,1 tapa rakastaa,8.0,"4.573364209373091,3.6309849677577732,-1.7778689586712804,0.3208930420153592,0.010354711273218308,0.026459372711305128,1.699458632157314,4.42774797672003,1.107962481996999"
1 to 10,DAY6,The Book of Us: The Demon,-2.0,"4.1114739407166345,4.355250586326478,-1.0585911298481352,0.41228662993112597,8.242211648916245E-4,0.0,1.598500693613315,3.9773532607011335,-0.2769906204992498"
1+1 (feat. Amir) - Banx & Ranx Remix,Sia,1+1 (feat. Amir) [Banx & Ranx Remix],-2.0,"5.009232491062988,3.500617156415406,-1.2599114910104765,0.47524665716198766,0.12536473180284374,0.0,1.9476468977446444,3.8377884404527696,-0.2769906204992498"
1-100,Somkiat,1-100,-2.0,"2.634726180364299,3.959318714842252,-1.2856296140710504,0.4589989081991846,0.026769872288286794,0.0,3.053977640955965,3.471683622120104,-0.2769906204992498"
10,Etta,10,-2.0,"4.664441163756055,3.27850903338767,-1.3885021063133456,1.6247748962802997,1.135901437329634,0.0,0.8076635083519907,4.5236508392095365,-0.2769906204992498"
10 Feet Down,"NF, Ruelle",Perception,0.0,"4.0334079798169515,4.031745276699123,-1.834559444987599,0.9992365612123842,0.3338442029224899,6.282824022182492E-5,0.22505207133766408,3.351020384224217,0.0"
10 Lat,Paweł Szymański,10 Lat,-2.0,"3.0575834685709147,3.152969659502428,-1.8644256524127814,0.3879150064869215,0.14926021935642445,1.7877954534665626E-4,1.4554769473426499,3.010408290429671,-0.2769906204992498"
10 Timer,KESI,BO4L,-2.0,"5.236924877020397,2.974317473588814,-2.17912698620776,0.43970470630585606,0.027774175388364825,1.404696427723728E-4,1.2661808125726521,3.4525727971585587,-0.2769906204992498"
10 Years,Daði Freyr,10 Years,0.0,"5.191386399828915,2.9984596608744374,-1.9125434310422422,0.39705436527849824,0.04882990934862145,7.559820774658609E-4,1.863515282291312,4.290798689085016,0.0"
10+ (feat. Brädi & Ilpo Kaikkonen),Jussi Kuoma,10+ (feat. Brädi & Ilpo Kaikkonen),-2.0,"4.846595072521982,3.5295877811581544,-1.726709251507773,1.746633013501322,0.11047334100858328,0.0,2.0191587708799767,3.489538991427241,-0.2769906204992498"
"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)",-2.0,"4.2545948690327196,3.04191559798856,-1.2842469192828474,0.26301043633537347,0.5298564631446158,0.0,1.808829732246646,3.1383252721065826,-0.2769906204992498"
10.000 Mil,Ringnes-Ronny,10.000 Mil,-2.0,"4.2936278494825615,3.0177734107029366,-2.7753449788808475,0.3706517732139433,0.08900203335174264,6.6403831128758055E-6,1.299833458753985,3.6620943963719954,-0.2769906204992498"
"100 (feat. Benny Jamz, Branco & Kesi)",Gilli,Kiko,-2.0,"4.872617059488543,2.7522093505610776,-1.6561918173094257,0.6834209407479009,0.05194671207300154,0.0,2.0191587708799767,4.674549634115751,-0.2769906204992498"
100 Grados (feat. A.CHAL),Lali,100 Grados (feat. A.CHAL),-2.0,"4.690463150722616,3.959318714842252,-1.2253441213054042,1.2490457015154803,0.10874178393948322,0.001726499609347709,1.1526031317106535,3.4900969717180894,-0.2769906204992498"
100 Letters,Halsey,hopeless fountain kingdom (Deluxe),0.0,"4.846595072521982,3.4426759069299098,-1.418368313738528,0.9098739419169678,0.536782691421016,0.0,1.5816743705226486,3.837927935525482,0.0"
100 PRO,"Moe Phoenix, PA Sports",100 PRO,-2.0,"4.5278257321816096,3.862749965699759,-0.7654598347491217,1.0154843101751874,0.2181761907066065,0.0,1.808829732246646,3.3469052795792127,-0.2769906204992498"
100%(hundred percent),ONE OK ROCK,BEAM OF LIGHT,-2.0,"3.1681769131787987,4.683584333410957,-1.0912227268497234,0.9961901082818587,1.6796103570270498E-4,0.01547720064001053,2.6711787906433027,3.2422839750452064,-0.2769906204992498"
1000 Doves,Lady Gaga,Chromatica,-2.0,"4.3456718234156835,3.9882893395850005,-1.2350229848228245,0.38893049079709674,0.08172949366152243,5.4655461005977774E-5,1.632153339794648,4.288531894153446,-0.2769906204992498"
1000 Eyes,October,1000 Eyes,-2.0,"3.0836054555374757,3.4040484072729122,-1.7831231988664513,0.34424918114938846,0.02517683978471475,2.52845356990271E-4,0.5678884043099935,4.1137445680453,-0.2769906204992498"
1000 Netter,Arif,Arif i Waanderland,-2.0,"4.2676058625160005,3.582700593186526,-1.9155853595762884,0.4843860159535643,0.772274452818623,3.7748024003193993E-4,1.379758493434651,4.536344890826329,-0.2769906204992498"
1000 Tusenlapper,"Izabell, Tore Pang",1000 Tusenlapper,7.0,"3.99437499936711,3.27850903338767,-1.9830608652405897,0.6651422231647477,0.07618851104040227,0.0018286593495457984,0.9633069969406557,3.2114904377440308,0.9694671717473742"
1001 Noches,Fonseca,Agustín,1.0,"4.872617059488543,4.538731209697216,-0.8116418406750985,0.35745047718166595,0.39133189761661163,0.0,1.522782239705316,3.5923119862478132,0.1384953102496249"
100万回の「I love you」,Rake,First Sight,0.0,"3.682111155768378,4.277995587012483,-0.9922217800143963,0.4315808318244546,0.606044974185018,0.0,2.2589338749219743,3.9744238641741814,0.0"
101 tapaa olla vapaa,Maj Karma,101 tapaa olla vapaa,8.0,"3.4674297632942506,3.312308095587543,-1.6337921617405389,0.25793301478449754,5.7487694694121707E-5,6.895782463371028E-6,1.808829732246646,3.278238830036727,1.107962481996999"
1010 (Intro),Benny Jamz,1010,-2.0,"5.126331432412512,3.0660577852741833,-1.537833143439258,0.33003240080693586,0.10493235838746312,0.0,1.379758493434651,4.70910953838015,-0.2769906204992498"
1016,Alfred García,1016,-2.0,"3.304792344753244,3.6213280928435236,-1.330982003124105,0.47930859440268836,0.2282192217073868,0.0,1.8929613476999783,4.528463419218101,-0.2769906204992498"
11 År,Blak,11 År,7.0,"4.80756209207214,3.0177734107029366,-2.08842220810165,0.35237305563078997,0.08415367355826249,1.976790972833028E-5,1.5269888204779825,3.6640473273899636,0.9694671717473742"
1106,WANIMA,Can Not Behaved!!,-2.0,"3.486946253519171,4.384221211069226,-0.8951566058825532,0.4640763297500605,0.013021309159632387,0.0,1.8130363130193126,4.095296344679137,-0.2769906204992498"
119,NCT DREAM,We Boom - The 3rd Mini Album,-2.0,"4.5798697061147315,4.263510274641108,-1.0019006435318165,0.6306157566187913,0.40172124003121196,0.0,2.115910128651309,3.6257559299305173,-0.2769906204992498"
12 Luglio,Valerio Mazzei,12 Luglio,6.0,"4.124484934199915,3.993117777042125,-1.561338954838707,0.2934749656406291,0.2150593879822264,0.0,1.8929613476999783,3.7665064582969334,0.8309718614977493"
123 viva lAlgérie,Groupe Milano,"Oran Mix Party, vol. 5",5.0,"4.1114739407166345,4.282824024469607,-2.1304561296630182,0.9890817181106324,0.6995490559164208,0.0,2.490295817418638,3.8709882677582277,0.6924765512481245"
12345,"魔王魂, 森田交一",魔王魂 BEST 2,-2.0,"3.226726383853561,4.543559647154341,-1.2726322830619432,0.5392221687030244,0.5263933490064157,0.0,1.9602666400626443,3.3989020679326134,-0.2769906204992498"
135 seb,Road,A tökéletesség hibája,12.0,"3.3373198284614456,4.500103710040219,-1.2192602642373114,0.33612530666798696,2.2752659887974677E-4,2.3905379206352897E-4,0.16994586321573138,3.051419841807001,1.6619437229954985"
143,"Batusing, 田中理来, FUKI",143,-2.0,"4.4627707647652075,3.075714660188433,-1.684951868904046,0.5554699176658274,0.006095080883232181,0.0,1.5942941128406485,3.2438532946132166,-0.2769906204992498"
14U+14ME - Single Edit,The Presets,14U+14ME,-2.0,"4.501803745215049,3.3316218454160413,-2.1130341753316615,0.7605977483212152,0.15687907046046468,0.3059684218932775,0.6898792467173255,4.461645279389048,-0.2769906204992498"
15,Aleksanteri Hakaniemi,Nuorena jaksaa,8.0,"4.950683020388226,3.8192940285856363,-1.571294357313768,0.4671227826805861,0.48137286520981437,0.0,2.149562774832642,3.8868907060473967,1.107962481996999"
15 Sleeps (feat. RuthAnne),KO:YU,15 Sleeps (feat. RuthAnne),0.0,"3.4999572470024516,3.548901530986653,-1.2867357699016124,0.39806984958867336,0.03844056693402115,0.0,1.7204915360206468,3.5921376174069235,0.0"
17 Años - Concierto Sinfónico Cumbia Fuzion,"Los Ángeles Azules, Jay de la Cueva",Cómo Te Voy A Olvidar ¡Edición De Súper Lujo!,1.0,"3.4218912861027686,3.693754654700394,-1.2565930235187894,0.3736982261444689,0.030440773274778902,0.0023649979855857673,2.6375261444619698,3.1747334860844165,0.1384953102496249"
17 Años - En Vivo Concierto Sinfónico Cumbia Fuzión by Fuze Tea,"Los Ángeles Azules, Jay de la Cueva",Cómo Te Voy a Olvidar ¡Edición de Súper Lujo!,1.0,"3.382858305652927,3.635813405214898,-1.2471906989590098,0.3604969301121914,0.03265716632322697,0.003519403049824177,2.6080800790533036,3.1771746498568767,0.1384953102496249"
17 Shots,Christia Visser,17 Shots,-2.0,"4.104968443974994,4.519417459868718,-1.3359597043616358,1.1474972704979616,0.15410857914990458,2.9319845436851633E-4,2.5533945290086373,3.4838545672142267,-0.2769906204992498"
19 Seventy Sumthin,Neck Deep,The Peace And The Panic,0.0,"3.506462743744092,3.659955592500521,-1.2599114910104765,0.3706517732139433,0.07480326538512223,0.0,2.974052606275299,2.842177232738989,0.0"
19.10,Childish Gambino,3.15.20,-2.0,"4.651430170272774,2.882577161903445,-2.471981742349133,0.7605977483212152,0.04155736965840123,0.013944804537039189,0.7824240237159911,4.009785865106676,-0.2769906204992498"
1939 (Vain elämää kausi 11),"Vesku Jokinen, Klamydia",Vain elämää,8.0,"3.3112978414948846,3.6406418426720224,-1.1636759337515552,0.35745047718166595,0.08969465617938266,0.0,2.1117035478786423,3.6957127088955892,1.107962481996999"
194 Länder,Mark Forster,LIEBE,4.0,"3.7536716199264206,3.650298717586272,-1.2408303029332766,0.7616132326313904,0.3774794410638112,0.0,2.776343309959968,3.654247798531945,0.5539812409984995"
