title,artist,album,language_id,scaled_vectorized_features_str
(Must Be More) Crispy,Micheal O Suilleabhain,Between Worlds - The Music Of Mícheál Ó Súilleabháin,18.0,"3.5520012209355736,1.3423056130806663,-5.1162472553083465,0.3513575713206148,3.0406142133396905,4.055741685864145,3.705997660719291,4.090204774525149,2.492915584493248"
0.01,Varis,0.01,-2.0,"3.617056188351976,1.5692421735655269,-4.28165268114908,0.30159884012203064,3.1133396102418924,3.4376752576657053,1.1652228740286534,4.953679274612479,-0.2769906204992498"
"1,2,3,4,5",JamesPonder,Ill Never Love Again,0.0,"3.922814535209067,0.6132115570548367,-8.497765629337342,0.7199783759142078,3.3696100564687,4.571648373864496,2.157975936377975,4.5347406974901405,0.0"
1/1 - Remastered 2004,Brian Eno,Ambient 1: Music For Airports (Remastered 2004),0.0,"1.6914291528264636,0.01916889670478505,-8.598978887833793,0.41228662993112597,3.4007780837125012,4.663592140042777,0.15480217243413155,2.889710178765606,0.0"
100 Grand,EdithFernandez,100 Grand,-2.0,"4.020396986333671,1.6078696732225246,-6.912644324141545,0.5615628235268786,3.2657166323226967,4.842371685389433,0.345780939513196,5.5823835673255005,-0.2769906204992498"
"12 Etudes dexécution transcendante, S.139: No.12 Chasse neige (Andante con moto)","Franz Liszt, Daniil Trifonov","Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145)",5.0,"1.385670805969372,0.8739471797395704,-5.654945144792194,0.33104788511711103,3.4215567685417017,4.408192789547553,0.1611120435931315,2.365522569282057,0.6924765512481245"
"13 Pieces for Piano, Op.76: 2. Etude","Jean Sibelius, Jian Wang, Göran Söllscher",Finlandia: Finland Independence Day,0.0,"2.7388141282305427,0.16078696732225248,-7.837114059534,0.39400791234797267,3.3626838281922997,4.597188308914019,2.02757193242531,4.314268735068811,0.0"
19,Zoé de Vera,19,-2.0,"3.096616449020756,0.3544073093529529,-6.68588237887627,0.37471371045464413,3.431946110956302,4.883235581468669,0.7824240237159911,2.8710178390221968,-0.2769906204992498"
"2 Degrees East, 3 Degrees West - Recorded at Spotify Studios NYC","Jazz At Lincoln Center Orchestra, Wynton Marsalis, Jon Batiste",Spotify Singles,0.0,"4.313144339707482,0.8063490553398246,-4.5662112685612355,0.40720920838025004,3.224159262664296,4.546108438814974,1.400791397297984,3.507289739429844,0.0"
20 Years Old,Kim Jun Seok,Weightlifting Fairy Kim Bok Joo (Original Television Soundtrack),0.0,"2.6737591608141402,1.0670846780245582,-3.0853451503959364,0.368620804593593,3.061392898168891,4.7861838282804845,0.28941275715946335,2.6490114308010355,0.0"
