title,artist,album,language_id,scaled_vectorized_features_str
"#302",Ken Hirai,#302,-2.0,"2.615209690139378,1.67546779762227,-1.9379850151451754,0.34424918114938846,2.760101968145482,0.0,2.2463141326039744,2.744181944158803,-0.2769906204992498"
( I Cry At ) Commercials,Stephan Eicher,Eldorado,-2.0,"3.1941989001453597,1.6899531099936442,-2.632097798823028,0.35237305563078997,2.0847947111964618,0.035398349978637944,0.5342357581286605,1.8571327767831431,-0.2769906204992498"
(Heiðskírir Himnar),kef LAVÍK,Blautt Heitt Langt Vont Sumar,-2.0,"3.3633418154280066,1.9893162323353755,-2.4827667616971154,0.8570687577878581,2.393011869496271,0.0,0.8875885430326564,2.9372779985604005,-0.2769906204992498"
(No One Knows Me) Like the Piano,Sampha,Process,-2.0,"4.039913476558592,0.960859053967815,-3.812919147948299,0.3493266027002644,3.3799993988833004,0.009500855838422306,0.7487713775346581,4.4954030869853545,-0.2769906204992498"
(Oh! Oh!) What Do You Know About Love,Ella Fitzgerald and Her Savoy Eight,The Complete Decca Singles Vol. 1: 1935-1939,0.0,"3.870770561275945,0.5794124948549637,-2.680492116410129,0.3767446790749945,3.3038108878428982,0.0,1.8340692168826456,3.4519450693313547,0.0"
(Out Here) On My Own,Nikka Costa,Collection: Tutto Hits Anni 80,0.0,"2.6217151868810187,0.9850012412534384,-2.825675069171433,0.30159884012203064,2.68045034296688,7.559820774658609E-4,0.9002082853506563,4.963513677238676,0.0"
(Shes) Just a Phase,Puma Blue,Swum Baby,-2.0,"2.751825121713823,1.825149358793136,-2.900340587734389,0.5382066843928492,2.431106125016472,0.0032997596083982846,0.376909637230929,5.002502550061682,-0.2769906204992498"
(Theres No Place Like) Home for the Holidays - 1959 Version,Perry Como,Seasons Greetings,0.0,"3.1096274425040367,1.6464971728795221,-3.4722231521351055,0.5189124824995207,3.1064133819654924,0.0,1.993919286243977,5.012615942833302,0.0"
(They Long To Be) Close To You,Carpenters,Close To You,-2.0,"3.434902279586049,1.1250259275100547,-4.2481914672745695,0.3513575713206148,2.5142208643332746,5.516625970696822E-4,0.8749688007146565,3.1052998136420142,-0.2769906204992498"
(You Dont Know) How Glad I Am,Nancy Wilson,How Glad I Am,-2.0,"3.4414077763276896,2.1245124811348672,-2.5192699041056716,0.30667626167290657,2.5696306905444763,5.363386360399688E-5,2.570220852099304,3.6153286732452945,-0.2769906204992498"
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Lady Soul (With Bonus Selections),-2.0,"3.922814535209067,1.3085065508807934,-2.7883423098899547,0.2883975440897532,2.35145449983787,0.0,1.7036652129299805,3.8671521532586475,-0.2769906204992498"
(are we) just friends,Cholo Dela Cruz,(are we) just friends,-2.0,"3.714638639476579,2.018286857078124,-1.905353418143587,0.3208930420153592,2.2752659887974676,5.8231051912910906E-6,0.7067055698079919,2.5798567485040578,-0.2769906204992498"
(Í Hita Leiksins),"kef LAVÍK, JóiPé, Króli",Blautt Heitt Langt Vont Sumar,-2.0,"5.236924877020397,0.9174031168536927,-2.9620087752882385,0.4356427690651553,2.2337086191390663,0.0,1.4386506242519836,3.313565957201043,-0.2769906204992498"
(一個人唱的) 合唱歌 - Duet,Justin Lo,Gold Typhoon Best Sellers Series - Justin Lo,-2.0,"3.233231880595201,1.3036781134236686,-3.4700108404739813,0.30464529305255617,2.2995077877648686,0.0,1.3839650742073175,2.5437972722080033,-0.2769906204992498"
-1,Happysad,Ciało obce,9.0,"4.456265268023568,0.12698790512237956,-6.945275921143133,1.0662585256839465,3.2587904040462967,0.0,1.0558517739393212,2.880712746575681,1.246457792246624"
...Y al final,Bunbury,Flamingos,-2.0,"4.4627707647652075,1.5354431113656541,-3.230804642114881,0.3594814458020163,2.6700610005522796,9.143296747728993E-5,0.761391119852658,4.253169893220952,-0.2769906204992498"
0.00,Childish Gambino,3.15.20,-2.0,"1.1319564330454024,0.22500518550201096,-5.104356080129801,0.5026647335367177,2.3272127008704695,1.0011654539412753,0.14176177203886506,4.070222105359153,-0.2769906204992498"
00000 Million,Bon Iver,"22, A Million",-2.0,"2.4981107487898537,0.49732905808384387,-4.715265766729506,0.38689952217674634,3.3834625130215006,4.1068215559631903E-4,1.2535610702546522,4.457844038657647,-0.2769906204992498"
04.00 A.M.,Solitude is Bliss,Montage (EP. Album),-2.0,"1.6328796821517013,1.6320118605081482,-2.3157372312822058,0.3564349928714907,2.753175739869082,1.568152012040671,0.5047896927199942,5.904128952535747,-0.2769906204992498"
04:00,The Toys,04:00,-2.0,"4.820573085555421,1.8106640464217618,-3.5513132940203116,0.4417356749262064,2.4657372663984733,0.08019539605550009,1.3965848165253174,4.183387483096769,-0.2769906204992498"
