rank,trend,streams,popularity,duration_ms,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,language_id,date
1.0,1.0,253019.0,78.0,195840.0,0.852,0.773,8.0,-2.921,0.0,0.0776,0.187,3.05E-5,0.159,0.907,102.034,4.0,1.0,2017.0
2.0,2.0,223988.0,72.0,259195.0,0.663,0.92,11.0,-4.07,0.0,0.226,0.00431,1.69E-5,0.101,0.533,99.935,4.0,1.0,2016.0
3.0,0.0,210943.0,73.0,222560.0,0.761,0.838,4.0,-3.073,0.0,0.0502,0.4,0.0,0.176,0.71,93.974,4.0,1.0,2016.0
4.0,1.0,173865.0,0.0,205600.0,0.508,0.687,0.0,-4.361,1.0,0.326,0.551,3.41E-6,0.126,0.555,180.044,4.0,1.0,2016.0
5.0,2.0,153956.0,0.0,234320.0,0.899,0.626,6.0,-4.228,0.0,0.292,0.076,0.0,0.0631,0.873,88.007,4.0,0.0,2016.0
6.0,0.0,151140.0,0.0,228466.0,0.776,0.669,11.0,-4.933,1.0,0.0638,0.142,0.0,0.219,0.661,91.012,4.0,1.0,2016.0
7.0,0.0,148369.0,56.0,195274.0,0.588,0.682,11.0,-7.169,0.0,0.173,0.0851,2.69E-5,0.084,0.937,205.643,4.0,1.0,2016.0
8.0,0.0,143004.0,74.0,209453.0,0.832,0.772,10.0,-5.429,1.0,0.1,0.0559,4.86E-4,0.44,0.704,96.016,4.0,1.0,2016.0
9.0,2.0,126389.0,59.0,227706.0,0.736,0.964,0.0,-2.147,1.0,0.129,0.198,2.32E-6,0.336,0.953,179.935,4.0,1.0,2017.0
10.0,0.0,112012.0,0.0,226400.0,0.721,0.687,1.0,-6.682,1.0,0.0782,0.0998,0.0,0.0679,0.825,175.914,4.0,1.0,2016.0
11.0,1.0,110395.0,0.0,247493.0,0.68,0.954,9.0,-1.823,1.0,0.119,0.0244,0.0,0.112,0.521,104.029,4.0,1.0,2016.0
12.0,2.0,104592.0,66.0,227693.0,0.78,0.929,11.0,-0.739,0.0,0.0532,0.171,0.0,0.0677,0.837,95.012,4.0,1.0,2016.0
13.0,2.0,101535.0,80.0,207306.0,0.73,0.701,5.0,-5.885,0.0,0.106,0.132,0.0,0.151,0.785,175.95,4.0,0.0,2015.0
14.0,0.0,99722.0,0.0,224320.0,0.723,0.889,0.0,-4.017,1.0,0.0939,0.0673,0.0,0.363,0.701,101.032,4.0,0.0,2016.0
15.0,0.0,95010.0,69.0,210322.0,0.76,0.838,7.0,-3.828,0.0,0.0529,0.547,1.3E-6,0.0664,0.745,93.05,4.0,1.0,2016.0
16.0,2.0,92723.0,48.0,254069.0,0.598,0.917,0.0,-3.455,1.0,0.159,0.117,0.0,0.398,0.575,180.049,4.0,1.0,2016.0
